Date,Open,High,Low,Close,Volume
2021-08-25,165.4934997559,166.0500030518,164.3074951172,164.9589996338,33606000
2021-08-26,164.9499969482,166.6000061035,164.8000030518,165.8000030518,41976000
2021-08-27,166.6614990234,167.6159973145,165.6875000000,167.4815063477,48048000
2021-08-30,167.8715057373,172.2500000000,167.7610015869,171.0785064697,63844000
2021-08-31,171.2400054932,173.6289978027,169.7794952393,173.5395050049,87128000
2021-09-01,174.8200073242,176.3500061035,173.7619934082,173.9499969482,72598000
2021-09-02,174.7380065918,175.5980072021,172.7500000000,173.1560058594,58474000
2021-09-03,172.6000061035,174.1334991455,171.8220062256,173.9024963379,51514000
2021-09-07,173.8999938965,176.4044952393,173.8470001221,175.4644927979,54758000
2021-09-08,175.5825042725,177.2814941406,174.7834930420,176.2749938965,61068000
2021-09-09,176.3009948730,177.4994964600,174.0184936523,174.2079925537,54384000
2021-09-10,175.0915069580,175.4225006104,173.1454925537,173.4575042725,47946000
2021-09-13,174.1399993896,174.8979949951,171.8999938965,172.8585052490,51380000
2021-09-14,173.7774963379,174.3404998779,171.8854980469,172.5000000000,38738000
2021-09-15,172.1260070801,174.2709960938,170.1004943848,173.7895050049,59150000
2021-09-16,172.9980010986,174.6275024414,172.3070068359,174.4120025635,51672000
2021-09-17,174.4205017090,174.8704986572,172.6065063477,173.1260070801,92332000
2021-09-20,169.8000030518,170.9499969482,165.2505035400,167.7864990234,93382000
2021-09-21,168.7500000000,168.9850006104,166.6195068359,167.1815032959,55618000
2021-09-22,167.5500030518,169.4499969482,167.0525054932,169.0025024414,48228000
2021-09-23,169.0025024414,171.4479980469,169.0025024414,170.8000030518,47588000
2021-09-24,170.1004943848,171.4629974365,169.6699981689,171.2760009766,42324000
2021-09-27,168.5749969482,170.7785034180,166.9804992676,170.2899932861,72690000
2021-09-28,167.8854980469,168.4595031738,164.5050048828,165.7980041504,88616000
2021-09-29,166.1054992676,167.5650024414,164.8934936523,165.0559997559,51246000
2021-09-30,165.8000030518,166.3925018311,163.6994934082,164.2519989014,56848000
2021-10-01,164.4505004883,165.4584960938,162.7969970703,164.1629943848,56712000
2021-10-04,163.9694976807,163.9994964600,158.8125000000,159.4889984131,90462000
2021-10-05,160.2250061035,163.0364990234,160.1230010986,161.0500030518,65384000
2021-10-06,160.6764984131,163.2169952393,159.9309997559,163.1004943848,50660000
2021-10-07,164.5769958496,166.2875061035,164.1529998779,165.1215057373,48182000
2021-10-08,165.8500061035,166.0715026855,164.4100036621,164.4309997559,39964000
2021-10-11,163.7500000000,164.6295013428,161.9049987793,162.3150024414,40684000
2021-10-12,162.8500061035,163.3764953613,161.8139953613,162.3665008545,36392000
2021-10-13,163.4855041504,164.4190063477,163.0545043945,164.2140045166,48402000
2021-10-14,165.1224975586,165.6300048828,164.5390014648,164.9929962158,42190000
2021-10-15,165.5709991455,170.5209960938,165.1999969482,170.4510040283,103598000
2021-10-18,169.4179992676,172.4584960938,169.2550048828,172.3370056152,63482000
2021-10-19,171.7144927979,172.7344970703,171.1000061035,172.2075042725,47722000
2021-10-20,172.6329956055,173.1430053711,170.0184936523,170.7530059814,42796000
2021-10-21,170.7124938965,172.0140075684,170.1499938965,171.7505035400,37628000
2021-10-22,171.0500030518,171.4920043945,166.5650024414,166.7774963379,62782000
2021-10-25,166.7500000000,167.3899993896,164.8849945068,166.0184936523,44520000
2021-10-26,167.4754943848,170.8059997559,167.1990051270,168.8034973145,53966000
2021-10-27,169.3999938965,171.8500061035,168.5724945068,169.6244964600,54044000
2021-10-28,170.1049957275,173.9499969482,169.3000030518,172.3285064697,114174000
2021-10-29,165.0010070801,168.7409973145,163.6660003662,168.6215057373,129722000
2021-11-01,168.0899963379,168.7929992676,164.6009979248,165.9055023193,72178000
2021-11-02,165.7505035400,166.5559997559,164.1775054932,165.6374969482,52552000
2021-11-03,165.4499969482,169.7460021973,164.8760070801,169.1999969482,67944000
2021-11-04,168.5000000000,174.9315032959,168.2500000000,173.8500061035,107060000
2021-11-05,173.8500061035,178.3125000000,173.8489990234,175.9494934082,99940000
2021-11-08,176.1620025635,178.9499969482,174.3930053711,174.4490051270,61480000
2021-11-09,175.7624969482,179.6885070801,175.0715026855,178.8114929199,85898000
2021-11-10,178.1934967041,180.2725067139,173.1544952393,174.1024932861,80548000
2021-11-11,175.6499938965,177.1620025635,173.3735046387,173.6250000000,45288000
2021-11-12,174.2500000000,177.0364990234,172.3524932861,176.2575073242,53788000
2021-11-15,176.8500061035,179.6940002441,176.2904968262,177.2839965820,58594000
2021-11-16,176.9499969482,178.8249969482,176.2575073242,177.0350036621,44342000
2021-11-17,178.2359924316,179.3625030518,177.2675018311,177.4499969482,51206000
2021-11-18,178.3175048828,185.2100067139,178.0500030518,184.8029937744,114070000
2021-11-19,185.6345062256,188.1074981689,183.7859954834,183.8285064697,98734000
2021-11-22,183.8190002441,185.6730041504,178.3750000000,178.6284942627,96844000
2021-11-23,179.2519989014,181.0525054932,176.3854980469,179.0019989014,73804000
2021-11-24,178.1334991455,180.6820068359,176.8424987793,179.0204925537,46560000
2021-11-26,180.1049957275,181.6750030518,175.2075042725,175.2279968262,59826000
2021-11-29,177.3820037842,179.8000030518,176.5749969482,178.0785064697,65312000
2021-11-30,178.1750030518,179.2884979248,174.6004943848,175.3535003662,80022000
2021-12-01,177.2500000000,177.9940032959,172.0800018311,172.1860046387,74916000
2021-12-02,173.0000000000,174.6349945068,171.1875000000,171.8679962158,64726000
2021-12-03,172.7500000000,173.4934997559,166.9299926758,169.4895019531,80712000
2021-12-06,169.6499938965,173.6954956055,166.9344940186,171.3684997559,68860000
2021-12-07,174.6000061035,177.4994964600,173.3345031738,176.1645050049,66410000
2021-12-08,176.1504974365,177.1799926758,174.7505035400,176.1580047607,45254000
2021-12-09,175.7500000000,176.9694976807,174.1394958496,174.1710052490,46062000
2021-12-10,175.4170074463,175.9270019531,170.5000000000,172.2120056152,60690000
2021-12-13,172.0000000000,172.1000061035,169.1300048828,169.5675048828,62170000
2021-12-14,167.5500030518,169.4989929199,166.4400024414,169.0915069580,55976000
2021-12-15,168.5980072021,173.6000061035,165.1950073242,173.3150024414,75794000
2021-12-16,173.3684997559,174.1660003662,168.1605072021,168.8710021973,60876000
2021-12-17,167.7104949951,170.8984985352,165.6134948730,170.0175018311,85542000
2021-12-20,166.8500061035,167.8744964600,165.6000061035,167.0789947510,57372000
2021-12-21,167.8504943848,170.7165069580,165.6475067139,170.4170074463,55956000
2021-12-22,169.2700042725,172.0500030518,168.5005035400,171.0370025635,55036000
2021-12-23,170.4279937744,171.9750061035,170.1499938965,171.0684967041,36788000
2021-12-27,171.0370025635,172.9429931641,169.2154998779,169.6694946289,58688000
2021-12-28,170.1824951172,172.1759948730,169.1354980469,170.6609954834,54638000
2021-12-29,170.8399963379,171.2120056152,168.6004943848,169.2010040283,35754000
2021-12-30,169.6999969482,170.8880004883,168.5240020752,168.6445007324,37584000
2021-12-31,168.9559936523,169.3500061035,166.5585021973,166.7169952393,47830000
2022-01-03,167.5500030518,170.7035064697,166.1605072021,170.4044952393,63520000
2022-01-04,170.4380035400,171.3999938965,166.3495025635,167.5220031738,70726000
2022-01-05,166.8829956055,167.1264953613,164.3569946289,164.3569946289,64302000
2022-01-06,163.4505004883,164.8000030518,161.9369964600,163.2539978027,51958000
2022-01-07,163.8390045166,165.2434997559,162.0310058594,162.5540008545,46606000
2022-01-10,160.5854949951,161.6614990234,156.3045043945,161.4859924316,87798000
2022-01-11,161.5000000000,166.3500061035,160.7015075684,165.3619995117,62806000
2022-01-12,166.5749969482,166.8780059814,164.4170074463,165.2070007324,50030000
2022-01-13,165.2505035400,166.2214965820,161.0910034180,161.2140045166,52188000
