Date,Open,High,Low,Close,Volume
2021-08-25,36.8591783756,37.5581410441,36.7530078991,37.2927131653,51219900
2021-08-26,37.6023822893,37.9032014826,37.1776969649,37.1953926086,41184500
2021-08-27,37.2661682471,37.7350943235,37.1069108438,37.5935325623,46468600
2021-08-30,37.7173888590,37.7173888590,36.8326272377,36.8591690063,44855600
2021-08-31,36.8680258708,37.2219319724,36.5937518484,36.9388084412,54654600
2021-09-01,36.9388120316,36.9653538105,36.3017823368,36.4433441162,52361900
2021-09-02,36.5589414612,36.8968747280,36.1409714573,36.4789047241,44538900
2021-09-03,36.4789069336,36.6300855615,36.1765462855,36.5055847168,41812400
2021-09-07,36.6834504039,37.2170265073,36.6211999715,36.7457008362,43748600
2021-09-08,36.5322714837,36.8968826099,36.1765518224,36.2654800415,36064400
2021-09-09,36.1587621353,36.7723749319,36.0698339245,36.3988723755,36266400
2021-09-10,36.6567786658,36.7723846921,35.7852690770,35.8119468689,40514700
2021-09-13,36.1053961976,36.4255431226,35.8830723210,36.4077568054,42036300
2021-09-14,36.5767309261,36.7368044140,35.2694652389,35.4295387268,53820400
2021-09-15,35.3317199007,35.8741908535,35.2783609342,35.6963310242,52358200
2021-09-16,35.9986931690,36.2921624080,35.7496914334,35.9720153809,42922000
2021-09-17,35.8741885019,36.1676543174,35.6429731136,36.0164756775,92746000
2021-09-20,35.0204599386,35.0916018190,34.1133780646,34.7803497314,67566200
2021-09-21,34.9226346773,35.2161004281,34.6291655340,34.7981338501,38271100
2021-09-22,35.3495062229,36.0342643606,35.3495062229,35.6963310242,46261400
2021-09-23,36.2476885237,37.2437020756,36.1498688536,37.0747337341,49779800
2021-09-24,37.1014120420,37.6527743422,37.0391616239,37.4749145508,39042300
2021-09-27,37.9551422445,38.6221140458,37.9195696010,38.4709320068,49755400
2021-09-28,38.6221178783,39.1645888733,38.2930793735,38.3820075989,60781200
2021-09-29,38.3997983449,38.5242992317,38.0085093588,38.3019752502,44260200
2021-09-30,38.5509629122,38.5509629122,37.5549527899,37.7505989075,47410800
2021-10-01,37.7772764730,38.6221079668,37.6972397337,38.3108558655,40987100
2021-10-04,38.3375422996,39.1912654494,38.3019696536,38.5420799255,48273400
2021-10-05,38.9244736916,39.7959830816,38.8355420850,39.3246574402,54070700
2021-10-06,38.9956209634,39.3869133015,38.7288328916,39.3424491882,47031700
2021-10-07,39.8315552869,39.9026971790,39.1556886540,39.2357254028,46258800
2021-10-08,39.1912557542,39.8493359730,39.0578600609,39.4313659668,39389400
2021-10-11,39.6625909608,39.8493456553,38.9066908947,38.9333686829,36283500
2021-10-12,38.8355347195,39.1290038769,38.4798185379,38.7199287415,36898300
2021-10-13,38.7288269511,38.8088636996,37.6438885069,38.3642158508,43908000
2021-10-14,39.4580548351,40.1072403808,38.6665820930,40.0805625916,82201000
2021-10-15,40.7030648636,41.5034289635,40.3384537599,41.2366409302,64264900
2021-10-18,41.1654958082,41.6990718329,40.9342770431,41.1566009521,49542500
2021-10-19,41.3522513485,41.4678607430,41.0854633086,41.3344650269,32515500
2021-10-20,41.3433504639,42.0103221079,40.9520582616,41.8769264221,40411000
2021-10-21,41.8858321385,42.2237655030,41.4500790825,41.6457252502,36848600
2021-10-22,41.7880126713,42.3482666034,41.7880126713,42.3038024902,36225600
