Date,Open,High,Low,Close,Volume
2021-08-25,46.4395017063,47.2267526932,46.1044995189,46.9168777466,6125200
2021-08-26,46.6907593891,46.9755103364,46.0291317180,46.1715087891,5209000
2021-08-27,46.7242543733,47.8381307779,46.4981283675,47.5198822021,6549100
2021-08-30,47.7208931545,47.8548934297,47.0508917782,47.0676422119,4838600
2021-08-31,46.6907517667,47.1765046191,46.3138751045,46.5065002441,10500500
2021-09-01,46.5316354334,46.8331336198,45.5768799945,45.7695083618,9319800
2021-09-02,46.2803877932,47.7208931481,46.2385133062,47.4026412964,6696600
2021-09-03,47.1848765710,47.6957534512,46.8498743954,47.1011276245,7954200
2021-09-07,46.8080055510,47.3021320624,46.3306294700,46.8833808899,6632600
2021-09-08,47.1681377139,47.4110141911,46.2217590511,46.2971343994,5228900
2021-09-09,46.1882593272,47.3523871694,45.9202588107,46.5483856201,6285800
2021-09-10,47.4109910326,47.5198671924,46.4478624079,46.6739883423,5055200
2021-09-13,47.3775053789,48.6421356549,47.3775053789,48.2317581177,8456500
2021-09-14,48.7593752030,48.8180000967,47.4109962577,47.6873703003,7880700
2021-09-15,48.6505098895,49.7978871732,48.6253858423,49.6806373596,10766000
2021-09-16,49.6471334161,49.9653851724,49.2116318534,49.6052589417,8773100
2021-09-17,49.4712610846,50.1747631512,49.2283846485,49.3456344604,13741300
2021-09-20,48.1480058110,48.5835041701,47.1513760878,47.7962532043,10001800
2021-09-21,48.9687619247,50.1077655970,48.3406351815,49.6890144348,13923100
2021-09-22,50.4260081934,52.6705144117,50.4260081934,52.1428871155,15753000
2021-09-23,52.1345167298,53.7006482876,52.1345167298,53.3572692871,11886800
2021-09-24,53.4242785557,55.0155343845,53.2149029569,54.4544029236,11128300
2021-09-27,55.8614084956,56.0707840992,55.1076614342,55.8697853088,13508700
2021-09-28,56.5732858521,57.4861603394,56.2550308723,56.7826614380,14995200
2021-09-29,56.6402636566,57.3521455399,55.7860143421,56.9836425781,10563700
2021-09-30,57.1344062555,57.6955312465,56.7156551177,56.7575263977,15845900
2021-10-01,57.2684143119,58.9015478970,57.2097893969,58.7089195251,13482300
2021-10-04,59.3370344898,60.8110402726,59.1527829683,59.8730354309,12423500
2021-10-05,60.3839112037,61.0204147055,59.2197835824,60.0740394592,11270100
2021-10-06,58.9601658289,60.3922940591,58.4492888920,60.1410408020,10613500
2021-10-07,60.3085407195,60.4090369034,59.1360362545,59.8897895813,11521300
2021-10-08,60.4592852833,62.8964133393,60.4592852833,62.7456626892,12310500
2021-10-11,62.9215536398,63.2481790679,61.7658026165,61.9500541687,9585200
2021-10-12,62.0924178488,62.4860449384,61.1544130052,61.4810447693,7635600
2021-10-13,60.6770459568,61.7741784391,59.8479203749,61.3303031921,8517500
2021-10-14,62.2180514249,62.4860519260,61.0036691626,61.8495483398,8152600
2021-10-15,62.5027929997,62.7540462401,62.0840418587,62.0924186707,6945100
2021-10-18,62.6200398778,63.4407948872,62.0840389537,62.3939170837,9917700
2021-10-19,62.6786655104,63.5245445746,62.2934152410,63.0806694031,6589400
2021-10-20,62.5781668424,63.7339176046,62.4274161873,63.6669158936,5506000
2021-10-21,63.3570484443,63.3570484443,62.0672941728,62.4692916870,5836300
2021-10-22,62.9131608696,63.7171621292,62.8042815058,63.4156608582,7170200
2021-10-25,64.1191713285,65.3084294003,63.8176700021,64.0856704712,7471200
2021-10-26,64.2280620005,65.0153099225,64.0438104475,64.5128097534,5898200
2021-10-27,63.6618540026,64.5886463561,62.5581367446,62.7097930908,9025600
2021-10-28,62.6592423447,63.4764947484,62.4486088902,63.3164176941,5195900
2021-10-29,62.7097802378,63.4427868322,62.3222155277,62.7603302002,8079300
2021-11-01,63.1478903979,63.5354615084,62.7013486208,62.8445777893,11944600
2021-11-02,62.8024668752,63.4006650700,61.3448806506,61.5302391052,10891900
2021-11-03,61.2100561178,62.0862916727,60.8730414539,61.2858810425,9311800
2021-11-04,62.3474864105,63.0046615901,61.3954257564,61.7661361694,8573500
2021-11-05,62.8193098070,63.8724769185,62.2800887602,63.5691642761,6987600
2021-11-08,63.7544884479,65.0014404659,63.5775572396,63.9735488892,6957700
2021-11-09,63.8724684452,64.0241247463,62.9541099313,63.8219184875,6049800
2021-11-10,62.7687713153,63.1647632500,61.4459934386,61.5049705505,7484700
2021-11-11,61.7577185447,62.0610311702,60.6539951024,60.7803764343,7784500
2021-11-12,60.3169818687,61.1173927057,60.2411569245,60.9657363892,5329600
2021-11-15,60.8562033144,61.8335389246,60.4433572320,61.2690429688,6181400
2021-11-16,61.5049536974,62.1874038664,61.1426639870,61.2016410828,7451100
2021-11-17,60.7635311480,62.2885150477,60.4349435280,60.6371498108,7628600
2021-11-18,60.7635241063,61.6818826231,60.3338301807,61.2690429688,6548800
2021-11-19,59.7524903177,60.0726572476,58.4802690193,58.6487731934,8817100
2021-11-22,58.6740396858,61.3617239404,58.6487647062,60.5697402954,7445600
2021-11-23,61.4291358643,62.9541198220,61.3701523337,62.1621360779,9107200
2021-11-24,61.6987423301,63.6028637606,61.6734609210,63.0467948914,7215800
2021-11-26,59.4238821352,60.3422469218,58.4212652907,60.2242927551,10258700
2021-11-29,61.9093821488,62.9372679138,60.6203001249,60.7888107300,9191600
2021-11-30,59.5586952324,60.8646183019,58.9857721947,59.0868721008,15723700
2021-12-01,60.6708535358,60.8140827221,58.2612066396,58.3033294678,10070500
2021-12-02,58.2949222278,60.3675548372,57.4945111710,60.0389671326,8410900
2021-12-03,60.8056623471,61.4544169679,59.1290218975,59.9125785828,6995700
2021-12-06,61.0836843543,61.9346450672,60.3506778280,61.3448677063,6200100
2021-12-07,62.4823004366,63.9988571951,62.4317440451,62.8277359009,8136600
2021-12-08,62.8698565742,63.5017567444,62.0020416077,62.4401626587,6313200
2021-12-09,62.3137853999,62.3137853999,61.0499849773,61.1258163452,6511600
2021-12-10,61.8335526269,62.0526132061,60.3169892756,61.9178047180,6065000
2021-12-13,61.3954192806,61.6144733654,59.4154603867,59.8367271423,5719100
2021-12-14,59.4491713595,60.4433613081,59.0026295604,59.5502777100,6669300
2021-12-15,59.4913018143,60.0052478574,57.8567844688,59.5755538940,6805600
2021-12-16,60.4349455648,61.5555105086,60.0895036598,60.4096641541,7068200
2021-12-17,59.7356470486,59.9041512356,57.7135646653,57.8062438965,22913100
2021-12-20,56.4918899722,57.8315155366,55.6577769395,57.7978134155,11485000
2021-12-21,58.4971106639,59.6850797493,58.3875836052,59.5502777100,6324800
2021-12-22,59.3986236983,60.3422637222,58.8594026640,59.8872947693,3775100
2021-12-23,60.0642287391,60.7803811044,59.8535953124,59.9799766541,3902700
2021-12-27,59.9799585748,61.7155754310,59.3649063258,61.6818733215,3967800
2021-12-28,61.8503993768,62.2800869173,61.4122782717,61.6060638428,3383700
2021-12-29,61.7239990325,62.1621135746,61.0331218977,61.4375343323,3947300
2021-12-30,61.5723601741,62.0947269188,60.8309264543,60.8983306885,3340200
2021-12-31,60.6702176566,61.3968076300,60.5603866870,60.9828224182,3453900
2022-01-03,60.8560785482,62.4866804108,60.8476280304,62.3261528015,5769900
2022-01-04,62.9936040191,65.3761409012,62.7570410791,65.0297470093,9189300
2022-01-05,65.8830838942,66.1280909624,63.8046942849,63.9145317078,9034500
2022-01-06,65.7478797706,66.5674059064,64.9705997753,66.3139419556,8679000
2022-01-07,66.6349975985,68.3754303053,66.2210060463,68.1304168701,10838800
2022-01-10,68.1388740059,68.5697601887,66.9222572288,68.4599227905,9125400
2022-01-11,68.9499682904,70.7748875019,68.1219913283,70.6228103638,8510600
2022-01-12,70.9691867382,71.4254179979,70.2088013054,71.3071365356,7740100
2022-01-13,70.9185061686,71.6957862963,70.2848526294,70.6481475830,6814000
2022-01-14,71.1550685036,73.3939789450,70.8593648104,73.2841415405,7946600
2022-01-18,74.3486852045,75.2864929995,72.5068652450,73.9347000122,10782900
2022-01-19,74.2557514351,74.7204333123,72.4223819304,73.7403793335,7370100
2022-01-20,72.7011872550,74.7457745159,72.1520195505,72.3463363647,7707700
2022-01-21,71.7380500880,71.9070218284,69.4062026854,69.8877792358,10625600
2022-01-24,68.1811187221,70.5045150490,66.5589671973,70.1412200928,9505400
2022-01-25,70.2257205425,73.7234879941,68.7049492827,73.5967559814,8514800
2022-01-26,74.9569940578,75.3540846599,72.9630969738,73.5545043945,9416400
2022-01-27,75.1513181127,75.8187673780,74.1881651085,75.7511825562,9624600
2022-01-28,74.3317713028,75.8018453917,74.0952019513,75.3794097900,11561400
2022-01-31,75.0076965454,75.5568643521,73.4362349181,74.8725204468,7539800
2022-02-01,73.8417637643,77.6352346541,73.6896866501,77.3395309448,9424900
2022-02-02,76.4185958975,78.2435207461,75.1766406734,77.9055709839,8803400
2022-02-03,78.3871534934,78.5307800588,75.5906317204,76.7734527588,13258500
2022-02-04,77.7281705025,80.2036440165,77.5169526478,77.6183395386,12035300
2022-02-07,76.3932670533,79.6122313278,75.7680640499,78.5223464966,8420600
2022-02-08,77.6859255371,78.6997751223,76.0384288243,77.1621093750,7481500
2022-02-09,77.3310764231,79.4517053929,77.0945134679,78.5307922363,6973200
2022-02-10,77.9309557485,79.6967407708,77.1283302948,77.6521530151,7149900
2022-02-11,77.9832965237,79.5541761001,77.5672289036,79.4098205566,9580800
2022-02-14,78.5437000954,78.7305077700,76.5992120400,77.7370376587,7274400
2022-02-15,75.3000489399,76.3529571436,74.4933865984,76.1491699219,8379300
2022-02-16,76.2256048865,78.0342371320,76.1152214662,76.5992202759,6854400
2022-02-17,76.5567777673,77.9917883262,76.5567777673,77.4058990479,6842800
2022-02-18,76.0897403996,76.9643340743,75.3170371082,76.1067199707,6574800
2022-02-22,78.7390108650,78.8409012618,73.3810517464,74.5783157349,9267500
2022-02-23,74.7226680172,75.9793702843,74.1707379237,74.9179687500,7355000
2022-02-24,76.4209105408,76.6331908478,72.4215503332,74.4934082031,11509300
2022-02-25,75.0453085090,77.7115478192,74.5698028420,77.4992675781,10563000
2022-02-28,76.9898326060,80.7259679075,76.2935533459,80.5476531982,15096000
2022-03-01,81.3882551020,83.6044616631,80.4966818454,82.3307800293,14453500
2022-03-02,83.5280600793,84.8866527899,82.5260967406,83.2478485107,16168000
