Date,Open,High,Low,Close,Volume
2021-08-25,79.5609154808,80.7884547908,79.1517357107,80.6166000366,9342300
2021-08-26,80.2892602544,80.7966454503,79.5445500270,79.5609207153,8124800
2021-08-27,80.3138197265,81.3940542709,80.2401703511,80.7229995728,10281200
2021-08-30,81.0912513332,81.2712914477,80.1746925594,80.5184020996,8127200
2021-08-31,80.3138201322,80.5347807467,79.0862805872,79.1926651001,15676900
2021-09-01,79.2663178072,79.4381725880,78.1287983701,78.3252029419,10557300
2021-09-02,79.0862695589,80.5183988284,79.0126201934,79.9619140625,12340100
2021-09-03,79.7082414880,80.5511510378,79.6918707965,79.7818908691,9097000
2021-09-07,79.3972499114,80.1828806640,79.1681102101,79.4299850464,9237800
2021-09-08,79.7900630282,80.5838728593,78.8489482155,78.8816833496,10775900
2021-09-09,78.4725028312,79.8882677096,78.0305878907,78.5625228882,10219400
2021-09-10,79.8719090391,79.9537437640,78.4725146388,78.6198196411,11006000
2021-09-13,79.5527503487,80.7802899706,79.4299951378,80.1747055054,11500900
2021-09-14,80.5102361907,80.8048462230,78.5461776335,78.7262115479,15294100
2021-09-15,79.3726956443,80.6329701742,79.3726956443,80.3956451416,11623400
2021-09-16,80.4611131762,80.6820675143,79.3072294219,79.6427536011,10616700
2021-09-17,79.4708957217,80.5102095942,78.8653114081,79.1844711304,16006100
2021-09-20,77.4495399756,77.9487397533,76.3611203787,77.5641098022,15796100
2021-09-21,78.2106264642,78.4725012856,76.9503519351,77.6214065552,10958400
2021-09-22,78.7589278549,80.8375620330,78.7589278549,79.9046325684,13292800
2021-09-23,80.3956488838,82.0569179457,79.9946544104,81.8850631714,10094900
2021-09-24,81.5495338535,82.6297682554,81.5495338535,82.3269729614,8225300
2021-09-27,83.9555064847,84.9293563848,83.9555064847,84.2664871216,12697500
2021-09-28,85.0357708642,85.8377599817,84.1928550152,84.5856704712,15560800
2021-09-29,84.4628984155,85.3058078529,83.7509232749,84.5611038208,10268100
2021-09-30,84.6347602757,84.6593100682,83.0225906372,83.0225906372,15319800
2021-10-01,83.6527238467,85.5513179719,83.3744783209,85.3794631958,10854900
2021-10-04,85.9277633605,86.6315531599,85.1994237706,85.6986236572,13305400
2021-10-05,86.7788662800,88.1946251126,86.2714810011,86.6315612793,13017300
2021-10-06,85.2567136247,86.2141929733,84.7656990544,85.8704833984,10630100
2021-10-07,86.4269603764,86.9916305148,86.1078006225,86.4842453003,8830900
2021-10-08,87.4089890360,88.7347338684,87.2371342650,88.4237594604,10586700
2021-10-11,89.6594743363,89.7167592576,87.4990055265,87.6708602905,9794800
2021-10-12,87.5562924374,88.0391278513,86.8852378107,87.6872329712,9085000
2021-10-13,87.3762680906,88.6610926532,87.1389492566,88.2109985352,9220700
2021-10-14,89.1029926259,89.3321385627,88.4728584696,89.0457077026,7648600
2021-10-15,89.8313279623,90.0441032004,89.5530887032,89.7003936768,9968100
2021-10-18,90.1995975756,90.3550879001,89.1684627146,89.6594772339,10677400
2021-10-19,90.1504832390,91.4107513428,89.8558733269,91.4107513428,10362800
2021-10-20,90.9115726813,92.6137622922,90.6578831818,92.6055831909,10811400
2021-10-21,92.2373141825,92.3191488977,90.7315354433,91.4435043335,9372600
2021-10-22,91.8363240097,92.3764381502,91.2061835616,92.3109741211,8673800
2021-10-25,92.9083674786,93.5794221232,92.7201482608,93.1702423096,9579800
2021-10-26,93.2766329940,93.7840119667,92.8920029705,93.3748321533,7463000
2021-10-27,92.6546691121,92.9492790492,91.3698448703,91.7135543823,9096100
2021-10-28,91.3125708542,92.6955944111,91.3125708542,92.5728454590,7538200
2021-10-29,93.9722381366,94.3486828184,92.5973937037,93.6939926147,15294200
2021-11-01,94.1359025117,94.1850020891,93.3339136110,93.7267227173,11213800
2021-11-02,93.4403095301,93.4484948752,92.6464996329,93.1538848877,9189700
2021-11-03,91.8772128553,92.6955723067,91.6317087661,92.4828033447,10416000
2021-11-04,93.4730482017,93.5057833397,92.4009989666,92.8920135498,9673000
2021-11-05,93.5139600305,94.1522858401,93.2357207298,93.8985900879,8102100
2021-11-08,94.1849945248,94.9215193443,93.8576557104,94.2341003418,7695900
2021-11-09,94.3323127346,95.0279234218,93.6694434257,94.9297180176,10945900
2021-11-10,94.7333235117,95.1015828905,93.0147693379,93.4157638550,10305100
2021-11-11,92.9656493149,93.8412938372,92.9410995258,93.4239349365,7317500
2021-11-12,93.1293215658,93.5466804511,92.9574605617,93.4812164307,8682800
2021-11-15,94.0704418374,95.7071611821,93.5139570105,95.6007766724,11050400
2021-11-16,95.8380989861,96.6319088445,95.6335090738,95.9772186279,10566300
2021-11-17,95.0914720010,96.4656468290,94.9176309495,95.5467681885,11108000
2021-11-18,95.0748799329,95.5136223881,93.8828265096,94.7437515259,8368600
2021-11-19,93.1378104770,93.6676135232,91.9705839961,92.6411209106,13532600
2021-11-22,92.7321860796,95.3563744065,92.5914585104,94.2967681885,9947100
2021-11-23,95.3563595317,96.7222542090,95.2487391473,96.2752380371,10366800
2021-11-24,96.6974109216,97.6825162848,96.5897968637,97.0119857788,8500900
2021-11-26,93.8331698526,95.0583432821,93.2371398769,94.7934417725,11861800
2021-11-29,96.3083525685,96.9954430919,94.9590113694,95.0749053955,12003800
2021-11-30,93.9159435129,95.9109877957,93.0798519342,93.4358139038,24451200
2021-12-01,95.1576732028,96.0765516555,92.7901133014,92.7983932495,12302700
2021-12-02,93.7504037834,95.7785556878,92.6576840979,95.3149795532,11392400
2021-12-03,96.6394740313,96.8547084853,94.0318460013,94.7106628418,10445100
2021-12-06,95.9937921478,97.2272394258,95.2404809136,96.1924667358,9833900
2021-12-07,97.0533859662,98.2288923918,97.0533859662,97.6163024902,11419600
