Date,Open,High,Low,Close,Volume
2021-08-25,86.7085402633,87.3931046033,86.1312006347,86.9147338867,2357900
2021-08-26,86.9312745801,87.0797343119,86.4529036342,86.4776458740,2495800
2021-08-27,86.6673462083,86.8735399290,86.1972247767,86.3291854858,1724400
2021-08-30,86.1889609309,86.7333152835,86.0569939512,86.4281463623,1947800
2021-08-31,86.4693838988,87.1127135053,86.1064872788,86.3209304810,3069300
2021-09-01,86.5188820252,87.7395452653,86.3291810432,87.5251083374,2499500
2021-09-02,87.5910896553,88.2096708147,87.4261371965,87.9622421265,2792500
2021-09-03,87.7477902794,87.9539839789,86.9889989752,87.1622009277,3043700
2021-09-07,87.0302454158,87.0879794076,85.0920256429,85.1167678833,4472500
2021-09-08,85.1744947118,87.1374628526,84.7126228164,86.8735351562,3616300
2021-09-09,86.6755875091,86.8900307358,86.2137155985,86.2879486084,2317700
2021-09-10,86.3126952739,86.4281632575,85.0755329135,85.1167678833,2391700
2021-09-13,85.7600868517,85.9580310427,84.5806586308,84.7291183472,2801100
2021-09-14,84.9518184329,85.3724554123,83.6981632985,83.8053817749,3421700
2021-09-15,83.5084633526,84.4734485300,83.1373171436,84.1517868042,2795800
2021-09-16,84.5311633348,84.7950910062,83.5331866310,83.6404113770,3219100
2021-09-17,83.3022513259,83.7806222002,82.1228231594,82.2052993774,6699200
2021-09-20,81.8919025463,82.7331701959,81.2650718453,82.1805725098,4907800
2021-09-21,82.4115058506,82.8651345590,81.5125042370,81.5867309570,3274900
2021-09-22,81.8588894562,82.0320913892,80.9763807738,81.2733001709,2732900
2021-09-23,81.3310465027,82.0238543396,80.9928858019,81.1578445435,2419900
2021-09-24,81.0341420639,81.7187068098,80.7372225667,81.2073440552,3010800
2021-09-27,81.1990735432,82.1145740408,80.4155400292,80.5227584839,2772800
2021-09-28,80.3743003269,80.7124610094,79.6567502908,80.0443954468,3126800
2021-09-29,80.0444062116,81.6774569826,79.9619236879,81.1083602905,3299000
2021-09-30,81.2568020886,81.4052617889,80.4650191179,80.4897613525,2962300
2021-10-01,80.9929007977,81.5537480378,80.5062865783,81.2073440552,4598500
2021-10-04,81.3722982332,83.3270108049,81.2485807342,83.1043243408,4645600
2021-10-05,83.2032880823,83.2857706048,82.4362471880,82.6176986694,3411500
2021-10-06,82.4197525552,84.0528095575,81.8589053950,84.0033187866,2794800
2021-10-07,84.0610549871,84.5889104115,83.1867956204,83.2692718506,2020000
2021-10-08,83.3022569894,83.5661846806,82.8156428650,82.9146118164,1745000
2021-10-11,82.6259493462,83.0795780561,81.9413846722,82.2383041382,1659700
2021-10-12,82.3537675072,82.9393568956,82.1310810665,82.3290252686,2426000
2021-10-13,82.3455179551,83.0960660886,81.6939513614,83.0548248291,1798800
2021-10-14,83.3929920681,84.0363154943,83.1043221067,83.8383712769,3045600
2021-10-15,83.9208451636,84.1187893755,82.5599653349,82.7661590576,2593400
2021-10-18,82.3537652603,82.6259424636,81.7764253981,82.3620147705,2057600
2021-10-19,82.7661538660,83.4837102415,82.5847023946,83.4094772339,1759000
2021-10-20,83.5084673179,84.5971700475,83.5084673179,84.3167495728,1892700
2021-10-21,84.4486995633,84.9765549838,84.2672480827,84.9518127441,2057800
2021-10-22,85.1250095186,86.5518727444,84.9270653212,85.5951309204,2430300
2021-10-25,85.5209031086,85.5291463262,84.6383943028,84.8198394775,1681600
2021-10-26,84.7786220262,85.8920670049,84.6549045192,85.1910095215,2298300
2021-10-27,85.4879249355,85.6281351669,84.6631499844,84.7538757324,1519200
2021-10-28,84.4734092208,84.8280625345,83.9373044964,84.5311431885,1973600
2021-10-29,84.3249791160,84.9188180163,83.7971237141,84.1352844238,2301300
2021-11-01,84.2342459764,84.6878746222,83.6816483843,84.3827056885,1606500
2021-11-02,84.6466515775,84.7951113214,83.7146581413,84.4981918335,2701100
2021-11-03,84.3332327390,84.9105726466,83.6734103082,84.5724182129,2062000
2021-11-04,84.4486999611,84.8280956531,82.3702700199,83.3187561035,3054500
2021-11-05,83.4589678652,84.6796311016,83.3434998913,83.8631057739,2127800
2021-11-08,84.0280467416,84.1187724647,82.8981093952,83.6486511230,3686700
2021-11-09,83.9538144744,84.3332100678,83.4919426725,84.0940246582,2876300
2021-11-10,84.3480252789,84.8727060492,83.8566644315,84.6311874390,1876700
2021-11-11,84.4146731224,84.5812346547,83.2487233349,83.4902420044,2002600
2021-11-12,83.4902442208,83.6984493186,82.9322560837,83.1820983887,2504100
2021-11-15,83.4819300049,84.1232053854,83.0571960999,83.7817459106,2362900
2021-11-16,83.7234410245,83.9233161587,82.4159131378,82.5158538818,3758800
2021-11-17,82.4492250642,82.6574301780,81.9578640455,82.4408950806,2368600
2021-11-18,82.0994444558,82.1660716192,81.5997534385,81.9245529175,2809800
2021-11-19,81.9911701201,82.2493487783,81.5830898819,81.9661865234,2986300
2021-11-22,82.0328063584,83.7400906567,81.8828984378,83.4902420044,3913900
2021-11-23,83.6901407961,84.1731782718,82.7657094164,83.8983459473,3174100
2021-11-24,84.1065205833,84.2730884561,83.2154031136,83.4319381714,2236800
2021-11-26,82.5991151783,83.8316919818,82.5741315867,82.6823959351,1805400
2021-11-29,83.2154070930,83.6901144340,82.5408246489,83.4652557373,2128900
2021-11-30,82.9905614347,83.0488586137,80.5753807914,80.7919158936,3873200
2021-12-01,81.1500221569,82.4492199533,80.4337961016,80.4671096802,2825600
2021-12-02,80.8668516786,82.1827093072,80.7252737494,81.3249053955,2956200
2021-12-03,81.6996791089,83.2403955619,81.0417502374,83.1820983887,3106800
2021-12-06,83.7151010552,85.5306497215,83.4985723331,84.2897491455,2972500
2021-12-07,84.0149053130,84.5728997146,83.6984359025,84.2564239502,4402500
2021-12-08,84.1065388173,84.6478734022,83.4486098732,83.9899444580,4819400
2021-12-09,84.1481658642,84.2147930147,82.6657467117,83.5152206421,4020800
2021-12-10,83.9566260698,84.9893279847,83.5818594154,84.5396041870,3039900
2021-12-13,84.5312605997,86.3051655545,84.4896170431,85.8138046265,3932500
2021-12-14,85.8221385138,86.1969051249,85.2141768703,85.5889434814,2825100
2021-12-15,85.6222666373,86.7049357411,85.6222666373,86.4634170532,3378800
