Date,Open,High,Low,Close,Volume
2021-08-25,286.2179481107,288.3459330439,285.2996414090,285.9795532227,2586900
2021-08-26,285.3879507116,286.9596539922,283.4365725082,283.8604125977,2952300
2021-08-27,283.3306055845,286.1296368858,282.2445305648,285.5380554199,2985400
2021-08-30,287.7720359916,290.9419311889,287.1539391680,288.8227844238,2926900
2021-08-31,288.7344565526,289.8558314385,285.7499798768,288.0104064941,4183100
2021-09-01,288.9244455693,289.1196898597,284.2386096823,287.2205200195,3339100
2021-09-02,288.4540970437,291.2496194525,287.2737749897,290.8591308594,3109000
2021-09-03,288.7203356940,293.6635455143,288.5694811005,293.1665649414,2774800
2021-09-07,293.7789687075,295.1367956874,290.1137160726,291.9330444336,2555200
2021-09-08,291.9330983623,294.5777400982,290.7616321404,294.2671203613,2219500
2021-09-09,295.0391686302,296.1751282086,293.6369520217,294.4356689453,3011900
2021-09-10,296.4147603026,297.5063573435,294.1517243133,294.5954589844,3178600
2021-09-13,297.2577730375,299.2101887231,295.3053302685,297.7015075684,3908700
2021-09-14,298.2162973676,299.5119949170,295.0125463067,295.6337585449,2857200
2021-09-15,295.8467684953,297.0093782565,292.9536368410,295.8556518555,2875500
2021-09-16,297.0536811734,299.8225806459,296.5655839641,298.5357666016,3043800
2021-09-17,297.2578106622,301.4288995299,297.2578106622,297.8967895508,7098400
2021-09-20,294.4889473759,297.6483632310,291.4715569526,293.9387207031,4036600
2021-09-21,295.5539251452,299.0505566526,294.6398327715,296.6100158691,3171100
2021-09-22,298.0565778474,300.8521008009,295.9355131632,298.1275634766,2872800
2021-09-23,299.8226421100,301.3135841188,297.8347194317,298.1098327637,2426600
2021-09-24,298.8818978138,299.8226130675,297.7903008684,299.5119934082,2004900
2021-09-27,298.9618175511,305.0587280999,298.9618175511,302.9909362793,2966100
2021-09-28,302.9553615924,302.9553615924,295.0480076367,296.2372131348,3304100
2021-09-29,295.8467126602,300.7455598641,295.8467126602,299.0149841309,2424000
2021-09-30,300.1776363648,300.5947480594,290.7615991822,291.3207092285,4255000
2021-10-01,291.2231267948,295.2877524918,288.0548540080,292.7406921387,2814200
2021-10-04,291.5336476699,293.4061947812,287.6820343875,289.7320861816,2919900
2021-10-05,290.1137560488,294.8084769945,289.6078919653,292.4034423828,2514300
2021-10-06,291.2319100870,293.4416998357,288.7824863091,293.1843261719,2226800
2021-10-07,295.9710058150,301.0473311959,295.4030124739,299.5031433105,2789500
2021-10-08,295.5272556551,297.6660597644,293.6458252077,296.7164611816,2912200
2021-10-11,297.8346780838,302.5027478024,296.9472088565,299.0505065918,2589100
2021-10-12,300.9763726720,302.6714153214,299.4321575642,299.7871398926,2960300
2021-10-13,299.3610804683,301.9524750490,298.6777119344,300.2130432129,2477400
2021-10-14,302.2098586786,305.6177368531,301.8282534566,305.3337402344,2824300
2021-10-15,307.5435566973,311.4572987699,306.8424485085,310.9780578613,3473500
2021-10-18,309.7268466654,315.8947703479,309.7268466654,315.0605468750,3487500
2021-10-19,316.7732463339,317.7938304583,314.5368337852,317.7050781250,2375600
2021-10-20,317.4832734615,319.1073575227,316.1254464528,317.9181518555,2574800
2021-10-21,317.8915425610,323.7932085179,317.8205298440,323.5890808105,2885400
2021-10-22,323.9263151268,325.7278768372,321.3970220441,324.8049011230,2734700
2021-10-25,325.8787492407,329.8368548744,324.8048918499,329.4818725586,2923400
2021-10-26,331.3721851721,331.9578910948,327.5471674541,327.6536865234,2989500
2021-10-27,328.2482965986,332.9341338609,327.7513159104,330.4226074219,2840300
2021-10-28,331.0260631791,331.8602865238,329.1535158754,329.7569885254,2553500
2021-10-29,328.6565019207,332.9341105504,328.3902719576,329.9078369141,3820200
2021-11-01,331.0260359534,331.5318999347,323.6600518849,325.2397460938,3380500
2021-11-02,324.9912798433,327.3785745103,323.8730598195,325.9586181641,2367100
2021-11-03,325.3728491709,327.7956228432,324.1481372963,327.4495239258,2378800
2021-11-04,329.0557969483,331.2301071106,327.8399685957,330.2982482910,3210000
2021-11-05,331.7448764178,332.2773633817,326.2070769939,326.9436645508,3090200
2021-11-08,328.5589146264,330.9462094230,326.4556165312,327.1123352051,2357200
2021-11-09,328.0707577049,331.8069955290,327.2187677556,328.9404602051,2183300
2021-11-10,326.8105711187,329.4374726746,326.3402134710,327.1034240723,2161400
2021-11-11,329.2510818910,330.1385511144,324.6628540892,326.2603149414,2387300
2021-11-12,327.5825460101,331.4696644811,325.4348862422,330.6975708008,2793300
2021-11-15,332.2596614895,332.6856294422,327.7335624076,329.3221130371,3650600
2021-11-16,339.0133004622,350.0001756325,336.3508923434,348.1808471680,8648200
2021-11-17,348.6245918452,354.4818952911,346.8319134105,350.4172973633,4647000
2021-11-18,353.2127735745,360.7917688119,351.5177039990,360.1794128418,4503700
2021-11-19,361.7591138136,363.9511640601,358.6352045552,362.6998291016,3542000
2021-11-22,363.6849303670,369.6842318656,362.7087357445,362.7886047363,4006400
2021-11-23,360.0196210358,363.5783539011,357.6589498531,362.4157714844,3557000
2021-11-24,358.2358855014,366.3029787426,357.5436604831,365.7349853516,2676300
2021-11-26,361.4307691235,367.5365624662,356.9845390997,357.3839111328,3007800
2021-11-29,361.1112077864,364.5812155673,360.3479972835,361.0402221680,3725500
2021-11-30,358.1737209200,362.4690689547,355.2095767959,355.5290527344,7773500
2021-12-01,358.3094376438,365.5900609391,356.6519308600,356.8301696777,3516200
