Date,Open,High,Low,Close,Volume
2021-08-25,205.9084699281,207.2285097827,204.0711121338,205.7300872803,1825243
2021-08-26,205.2127846632,206.1939030676,204.6330410146,205.9263153076,1318299
2021-08-27,206.5506865462,208.3166833074,205.7301207256,206.1582336426,1683003
2021-08-30,206.2296129394,207.6210006932,205.6409473011,206.8093566895,1333676
2021-08-31,206.4168730998,207.5050127962,205.6498249342,206.8449859619,1979117
2021-09-01,207.7725837397,207.9866401676,204.5170728162,204.9630432129,2513276
2021-09-02,205.9619961331,206.4257965441,204.9362820968,206.0065917969,1613097
2021-09-03,206.0333887760,206.0333887760,203.1524862334,203.6787261963,1641323
2021-09-07,203.0900465583,203.0900465583,198.6928776486,198.8355865479,3259984
2021-09-08,198.6750560677,200.5926699808,197.8455683000,200.1467132568,2456926
2021-09-09,199.7096699508,200.6640228070,198.3004385018,198.8355865479,1960503
2021-09-10,198.8712380741,200.8513048987,198.1933812046,198.3360900879,2385401
2021-09-13,200.0753496423,201.3151202502,198.1933958960,199.4331665039,2803724
2021-09-14,199.8345257575,199.8969652006,195.9635969549,196.3917236328,2731188
2021-09-15,196.7841528634,198.8177235025,196.3471180885,197.7295837402,2045280
2021-09-16,197.3549543819,197.4798332491,194.9021792251,195.9100494385,2421417
2021-09-17,196.0973845899,196.0973845899,193.9924525113,194.8754577637,4442821
2021-09-20,192.7348183181,194.2956802144,191.0401694393,192.4137268066,4055253
2021-09-21,193.3591891826,193.4929761869,191.1829095651,191.6734619141,2598660
2021-09-22,193.0469978431,194.8219162486,192.9399627443,193.5643157959,2307706
2021-09-23,193.8140301981,197.4441499215,193.8140301981,195.9546356201,2205426
2021-09-24,195.9903540014,196.9447206065,194.8576184862,195.4998016357,1971833
2021-09-27,195.2768135426,196.0706274365,194.1975956384,194.3492126465,2224952
2021-09-28,193.2075579223,194.7505900637,191.2899441991,191.7359008789,2685056
2021-09-29,192.5029280016,193.0202459544,191.3612707655,191.6912841797,2133598
2021-09-30,192.8061918056,192.8775531334,189.1760852524,189.3366241455,2968625
2021-10-01,189.9609477061,193.0291401194,188.7657730071,192.3423614502,2303052
2021-10-04,191.9856009104,193.2075275282,190.1482569250,191.0580139160,2662901
2021-10-05,190.5229074895,193.5911146370,190.5229074895,192.4048614502,1578296
2021-10-06,190.6656087978,193.5375893584,190.0858650602,193.4216461182,1756147
2021-10-07,194.4383886797,196.0973638975,194.1797365829,194.7684020996,1874208
2021-10-08,195.0448901224,195.8208601498,193.3145674193,194.1708068848,1360485
2021-10-11,193.8854110370,194.6346154375,191.9945356102,192.0213012695,1371006
2021-10-12,192.3869657047,192.8686098674,190.8082737676,191.1650390625,1399839
2021-10-13,192.0213009062,193.2610576078,189.9252771683,192.2799530029,1618864
2021-10-14,193.6891707100,195.1340756253,193.1272571236,194.9646148682,1442126
2021-10-15,196.4898013198,197.5155153483,195.5622142729,196.8644104004,2206033
2021-10-18,194.9557282393,197.5333826793,194.2957150946,196.7841644287,1905266
2021-10-19,197.4352496513,197.8633625216,195.7406006383,197.8098449707,1618257
2021-10-20,198.2112106051,199.5134066974,196.9625182928,199.4688110352,1676225
2021-10-21,199.4510011425,200.5569709250,197.3282253744,200.2537231445,2680099
2021-10-22,198.8712654014,199.7007531550,193.7605656332,193.9032745361,3539406
2021-10-25,193.3770169869,195.3303181026,192.3423810506,194.0281219482,2742013
2021-10-26,194.6167945805,196.6414433259,193.3413502708,194.7238159180,2472404
2021-10-27,194.5276375573,194.5811413513,191.9589047112,192.4048614502,1666311
2021-10-28,191.2096291521,195.1340748178,191.2096291521,194.8665008545,1970619
2021-10-29,194.4384022651,196.4898167146,193.6000064795,194.9913940430,2645804
2021-11-01,195.0627326685,196.2668155369,194.5008190689,196.0081634521,1717602
2021-11-02,196.7038714871,197.9793157236,195.5532923546,197.2836151123,2324196
2021-11-03,197.0338774616,198.9425828012,195.8476245968,198.7196044922,2081295
2021-11-04,198.6036693860,200.5391405968,198.0774432725,198.4431304932,2347059
2021-11-05,200.0039720706,203.0097391808,199.6293767439,201.6272735596,2356367
2021-11-08,203.1881331983,203.5716504071,200.1288485724,201.3329315186,1735408
2021-11-09,201.3061770407,203.5894915646,200.9940073920,203.1346130371,2396631
2021-11-10,203.5825113009,204.1558137629,201.7103455115,201.9163665771,1340252
2021-11-11,201.9969979767,201.9969979767,197.6077080152,197.9749755859,1614413
2021-11-12,198.8080417618,199.3455163008,196.6223571409,199.2111511230,2210080
2021-11-15,199.4261167481,200.6891520843,198.5392955832,199.2827911377,1221988
2021-11-16,199.4171646063,200.0083741316,198.0197640449,198.2974548340,1667727
2021-11-17,197.9570238536,198.2257541570,196.7118957190,197.5091400146,1918721
2021-11-18,196.6223305204,197.9212075577,196.1923675408,197.6972656250,1707991
2021-11-19,197.9749751032,198.1451682225,194.5352018022,195.7176208496,2120548
2021-11-22,195.5742763549,198.0107839363,195.3055460362,195.4040832520,2480194
2021-11-23,194.7053991203,195.6907437384,192.7257356123,193.4871520996,4068304
2021-11-24,192.7167710825,193.4065178317,189.7607234630,190.0921630859,3304093
2021-11-26,183.5888140155,187.2167007223,181.4568648437,186.5090332031,3902795
2021-11-29,188.3006096489,188.3006096489,185.4251784280,186.0163879395,2628403
2021-11-30,184.7354236437,184.9504051400,180.1490595375,181.1612854004,5746552
2021-12-01,184.2158931720,184.4219280789,178.4202418654,178.6352233887,3159526
2021-12-02,180.0147087409,184.0367311841,178.7068711169,182.7378540039,6074938
