Date,Open,High,Low,Close,Volume
2021-08-25,139.8702386979,142.7557115008,139.2437376713,141.9968414307,11335000
2021-08-26,143.1792092766,144.5645933198,142.1997379647,142.7291870117,11027500
2021-08-27,142.7292270846,143.9734232693,142.2968431259,143.8763580322,8780200
2021-08-30,144.0175730358,144.2646457825,141.0791577293,141.5733032227,7937600
2021-08-31,141.5732683318,142.3938997244,140.6114487003,141.1408843994,12340800
2021-09-01,141.3792069036,141.8557006119,140.2761984947,140.9380035400,8729900
2021-09-02,141.2026509635,142.6056736603,140.6820210464,141.5909118652,8813300
2021-09-03,141.5291763240,141.9703795688,140.4349874297,140.7350158691,7959700
2021-09-07,141.1762215532,142.4027660564,140.2673439304,140.4879455566,9285600
2021-09-08,140.2055729445,140.8144356042,139.4555220086,139.8614349365,7852700
2021-09-09,139.6584636129,141.9174218251,139.4908042439,140.4702758789,7904300
2021-09-10,141.6791509092,141.8203391462,138.7319171499,138.8554534912,8311600
2021-09-13,139.8878604846,141.2291217427,139.4819611533,141.0614624023,10052800
2021-09-14,141.5821189024,142.3674601414,137.8848335478,138.5995941162,11685600
2021-09-15,138.2907188596,140.0290603785,138.0701172807,139.5613861084,11691500
2021-09-16,140.6644321634,141.9350997569,138.7319596536,139.4996490479,10880900
2021-09-17,138.8730910375,140.3114039771,138.5377723754,139.1378021240,25581600
2021-09-20,135.7935012466,136.3847118357,132.7933252946,134.9728698730,15819900
2021-09-21,135.4758351804,136.3758933567,134.6375519068,134.9905090332,8999900
2021-09-22,136.9494439057,138.7583793661,136.8612113615,137.5759582520,11236200
2021-09-23,139.4202263883,142.6939604133,139.1290306288,142.2262725830,12336100
2021-09-24,142.4556660244,144.3528340611,141.9085784624,143.8675079346,10102400
2021-09-27,145.5970318922,147.7148015158,145.2528939918,147.3441925049,13220900
2021-09-28,147.9795582200,149.3914139186,146.1794549955,146.5500640869,13387900
2021-09-29,146.6647522409,147.2736012578,145.6323250550,146.4353179932,7777100
2021-09-30,147.2913010033,147.3530759253,143.6469576112,144.4411315918,13161200
2021-10-01,144.7146116253,148.5089608426,144.3616545437,147.4765472412,11285000
2021-10-04,147.3353856613,150.3973366965,146.2411969673,147.3177337646,14120000
2021-10-05,148.4362835882,151.0373074879,147.9569052120,149.7234802246,12292900
2021-10-06,149.1286756637,150.1140492906,147.3621010220,150.0430297852,8692600
2021-10-07,151.9782476893,152.2534397839,150.5046235525,150.9928741455,10195400
2021-10-08,150.9307801211,152.1025683059,150.2916180037,151.1083221436,8190100
2021-10-11,151.6232009400,152.0581768559,147.7704835801,147.9302673340,12154700
2021-10-12,147.1402180837,147.9746806130,146.2702525629,146.7940063477,13032600
2021-10-13,145.6488257986,146.8383722390,142.5684236486,142.9235076904,22753500
2021-10-14,143.5892947186,145.5955452119,142.0890396420,145.1161804199,15176800
2021-10-15,146.7851289461,148.4007791435,145.7109772378,147.9036560059,14267400
2021-10-18,147.7881946541,149.6790499179,147.2821993365,147.8503417969,12672900
2021-10-19,148.6049214406,149.7145759124,147.8769951508,149.6435699463,8053900
2021-10-20,149.4039245949,151.6853678141,148.6582398222,151.6587371826,8185600
2021-10-21,151.5877043067,152.0937133516,149.7412372614,150.4691772461,8415200
2021-10-22,150.9396175035,152.7683256478,150.6466671388,152.4931335449,8817900
2021-10-25,153.3188031972,153.5407341758,151.3391691155,151.7475280762,10159200
2021-10-26,151.8007235017,153.1234364366,151.3923647181,152.1558074951,8015100
2021-10-27,151.1971006131,151.5344263937,148.5516743476,148.9866638184,9847000
2021-10-28,149.4038813131,151.3657428405,149.1020585466,151.2325897217,7212900
2021-10-29,151.9605108132,152.9015091546,150.3714916185,150.8153533936,8140100
2021-11-01,152.7239813358,152.9814287976,150.0341795741,150.7354888916,7435500
2021-11-02,150.7354575753,152.4132544993,149.9542565371,151.3302307129,7173800
2021-11-03,151.0284151361,151.9161387052,150.1584362856,151.3834991455,8402700
2021-11-04,150.9130176453,151.0905596628,147.7971125692,149.3950042725,9574200
2021-11-05,149.9365487014,150.9929422210,148.6138488707,149.1819915771,7975600
2021-11-08,150.0696798864,151.7297187125,149.7944877329,150.0785522461,6413700
2021-11-09,148.5605613254,149.5548074995,147.8947685741,148.9422760010,7990300
2021-11-10,148.6493357839,149.9809213780,148.3297546994,148.8002471924,6999200
2021-11-11,148.7114441957,149.7411931588,148.1610464159,148.7913360596,5815300
2021-11-12,148.8268756098,148.9067810389,147.1135753393,148.1255798340,8113400
2021-11-15,148.4363120816,148.9511799986,147.3621602547,147.8592834473,6492500
2021-11-16,148.3031340804,148.3120199875,146.5809477618,146.7940063477,9706100
2021-11-17,146.6608112840,146.9715063941,145.0451479472,146.0038909912,9909600
2021-11-18,145.9328782512,146.3412370566,144.3083424801,144.7433319092,8122500
2021-11-19,143.1898479147,143.9089020067,141.5475535093,142.8525085449,12193600
2021-11-22,145.7287149858,147.3443649558,144.6900799597,145.8973846436,14549900
2021-11-23,146.9182831904,149.6347157455,146.8028747663,149.3861541748,12354400
2021-11-24,149.5459410238,150.4159064603,147.7527353503,148.2143554688,9629800
2021-11-26,143.9355276782,144.3882619124,140.9882918843,143.7490997314,13619300
2021-11-29,144.9741369764,146.2790917343,141.8759903238,143.1276702881,12104400
2021-11-30,141.2900970315,142.5950518589,140.5177682579,140.9971466064,18922600
2021-12-01,142.9234947952,144.9386310922,140.0827820798,140.1626739502,12253400
2021-12-02,141.8848765694,144.9208899117,140.9705222680,143.1099395752,12969900
2021-12-03,143.3673754853,143.6603259275,139.5412885607,140.5177764893,12681800
2021-12-06,142.9323368989,144.3526997288,141.5563764929,142.1777801514,11186500
2021-12-07,143.7047139755,145.0451718589,143.0655518408,144.3172454834,9851600
2021-12-08,144.3971351038,144.9386470832,142.1866982939,142.6660766602,11705700
2021-12-09,141.7250548833,142.8613399079,140.8373313612,142.4441223145,11189600
2021-12-10,143.2075772172,143.5449029732,141.2634603719,141.8759918213,10405400
2021-12-13,141.5919361860,141.8493701099,139.6211884043,140.1893310547,12069000
2021-12-14,139.7720755872,142.8258468833,139.6389224678,141.2634582520,12563600
2021-12-15,141.9026324679,141.9026324679,139.6833233179,140.2070770264,14014200
2021-12-16,142.3820067475,143.6514587094,140.8817514951,142.3997650146,19542800
2021-12-17,141.4321451883,141.4854064425,137.7569560976,139.1595611572,28082000
2021-12-20,137.1621538011,137.3308234343,134.7919336696,136.6561584473,15148000
2021-12-21,137.9610976284,139.5323583025,137.6770196370,138.5647430420,11291300
2021-12-22,138.2629579694,139.4258737792,137.8102237860,139.1062927246,7273000
2021-12-23,139.9141021997,141.2545598162,139.5590182159,139.6033935547,8055200
2021-12-27,139.9052511961,140.4378772531,138.7867107396,140.4023742676,6188100
2021-12-28,140.4378449552,142.1689029474,140.3313224774,140.8284454346,6342300
2021-12-29,141.0149242818,141.7073477289,140.3935068152,140.7574768066,6398900
2021-12-30,141.2457020856,142.2488340849,140.5887817473,140.6864318848,6948200
2021-12-31,140.6598091592,141.4054937718,140.2248332414,140.5710449219,5805900
2022-01-03,141.9114984067,144.3793689861,141.6007897215,143.5449066162,13120900
2022-01-04,145.8618727354,149.6524565649,145.7908532169,148.9866638184,20195800
2022-01-05,149.8707870943,150.3530252977,146.2182234520,146.2628784180,17539400
2022-01-06,149.0581195189,149.4689125199,146.3432555378,147.8167877197,14047500
2022-01-07,147.9507606579,149.6118248709,147.4060026734,149.2814025879,13913300
2022-01-10,150.9870528600,151.2013748369,147.8256674330,149.4242248535,12922500
2022-01-11,150.2637303445,150.4959307402,148.5222955105,149.5760955811,11854100
2022-01-12,150.4423337057,151.4514650682,149.2992238197,150.4244689941,12568000
2022-01-13,150.3351434223,151.6479202380,149.9332760276,150.2369079590,13623400
2022-01-14,143.5658877992,143.8070137286,140.1187340703,141.0028533936,40158400
2022-01-18,139.1185239246,139.1185239246,134.4389640627,135.0908966064,32324800
2022-01-19,135.3587800366,135.9481791314,132.6617814599,133.0011291504,22380000
2022-01-20,133.0547710636,134.5014995118,131.5991034449,131.8670196533,14860800
2022-01-21,131.7241093071,131.7330348496,128.8395783900,129.5629425049,20705400
2022-01-24,127.0624104470,129.9201510231,124.6422667197,129.4468383789,28471400
2022-01-25,128.2858907806,131.1436452806,125.7317818942,130.8578643799,18915900
2022-01-26,132.8136206778,134.4657589703,130.3488219923,132.0991821289,20709100
2022-01-27,133.4387558325,134.2960848584,128.7145547141,129.7683410645,17536800
2022-01-28,128.7681391280,131.0632573071,126.9641847152,130.9293060303,14117000
2022-01-31,130.0630180828,132.8761031888,129.1967637101,132.7064361572,13985700
2022-02-01,132.7868362495,135.2694997549,132.4385493153,134.9837188721,14584900
2022-02-02,134.4032247904,134.7961666312,132.2331327516,133.9031219482,12441100
2022-02-03,133.9567220919,135.4302405842,132.4296094643,132.7957611084,12474900
2022-02-04,133.1529774640,137.0823689070,132.8582710618,136.2429046631,16654400
2022-02-07,136.8769857584,137.1895432747,134.7158188916,136.6983795166,12572300
2022-02-08,138.4219349280,141.5297268128,138.2433287051,139.2703247070,20411400
2022-02-09,139.8418756506,140.5920299783,139.1542409969,139.8508148193,9131100
2022-02-10,139.9043924693,142.0209041460,138.6184058613,139.2703247070,16455600
2022-02-11,138.9667218643,141.2707794149,136.6090837982,137.4574737549,16830000
2022-02-14,136.3947266911,137.2431165146,134.2424991078,136.1804046631,17026500
2022-02-15,137.9843600962,139.2614213660,137.3949608292,138.1719055176,9500000
2022-02-16,137.2967348270,139.4043214435,137.2967348270,138.4219665527,9076500
2022-02-17,136.6358514955,137.2877703701,134.5550555205,135.2337646484,11367500
2022-02-18,135.8589028272,137.6539178777,134.9658580730,135.8678283691,11733300
2022-02-22,134.4925821656,136.8502204156,134.3229014357,135.6267395020,11333500
2022-02-23,136.7430166764,136.9037718278,132.1438413647,132.7868347168,11799000
2022-02-24,127.6518123477,129.4825567188,124.8297878087,129.0896148682,25655100
2022-02-25,129.7147465981,134.0728092265,129.4111146613,132.1438293457,18367700
2022-02-28,128.1966024313,129.5450953700,125.8121741033,126.6337738037,31315300
2022-03-01,125.0619766784,125.4549185358,119.2929154143,121.8559494019,36840400
2022-03-02,122.6061138463,125.0619870313,121.9988499269,124.3832778931,19405600
2022-03-03,124.8833906622,125.9014612633,122.4007270274,123.4991683960,16640800
2022-03-04,120.5074746299,120.9361323438,118.2391330725,120.0252227783,21016000
2022-03-07,118.0337324959,118.4981196189,115.1581270787,115.3903274536,27560100
2022-03-08,115.7743287539,117.6943696468,113.6578100990,114.5776519775,19207800
2022-03-09,118.6856178692,120.7753525188,118.2748249981,119.1678695679,17536200
2022-03-10,117.7569122314,119.1768504867,116.3816289507,117.7569122314,15604200
2022-03-11,118.3195045336,119.7394424241,114.6848058387,115.1045379639,20061800
2022-03-14,115.6135959140,118.7035235612,115.4081857808,116.2476501465,15786900
2022-03-15,117.7032982576,119.2661265367,117.1049599231,118.3105621338,15096600
2022-03-16,120.4449646158,123.6777965089,120.0520226687,123.5974121094,20354900
2022-03-17,122.2221134797,125.1959543380,121.3826491764,125.1602249146,17050500
2022-03-18,125.1959560909,125.7853689453,123.6509923605,125.1155853271,23656500
2022-03-21,125.3388492622,125.7049872918,123.8921073492,124.7137069702,12676100
2022-03-22,127.0534932023,128.5359372803,126.5623158149,127.3660507202,13548600
2022-03-23,125.9014545222,126.4462124058,124.3118358376,124.8298034668,12093200
2022-03-24,125.2941920053,125.6603436549,124.2314664804,125.6424789429,10017600
2022-03-25,125.9996997589,127.8661603012,125.7407227376,126.7409286499,8383500
2022-03-28,125.0262780035,125.8925325913,123.1508783827,125.8032226562,10818100
2022-03-29,128.0179898903,128.2412511118,125.2406197491,126.0800704956,11316500
2022-03-30,126.7230405116,126.9195114405,124.9458902373,125.5084991455,8771000
2022-03-31,124.8744347128,125.3388217451,121.6862587799,121.7398529053,17353900
2022-04-01,122.7043432535,122.7132824221,119.4893903282,120.8378829956,15721300
2022-04-04,119.7751680174,122.2935609742,118.6767266940,121.3737258911,17416400
