Date,Open,High,Low,Close,Volume
2021-08-25,48.3522047664,48.4470778927,48.0675755171,48.3608283997,11270700
2021-08-26,48.2573338227,48.2832080155,47.8778281139,47.9037055969,10331500
2021-08-27,48.0072083820,48.1193353742,47.8260824417,47.9985847473,8844100
2021-08-30,48.0330808953,48.4729619237,47.9899561430,48.4557113647,10034700
2021-08-31,48.4384554140,48.7489588606,48.3004542477,48.5678329468,14185700
2021-09-01,48.6282049013,48.9904567039,48.5419521220,48.8955802917,9518900
2021-09-02,48.9645881653,49.1888388370,48.6540847042,48.9645881653,11653200
2021-09-03,48.6972142392,48.9645929770,48.5160882992,48.9300918579,13220400
2021-09-07,48.8179639009,48.8955897722,47.8778298102,48.0158309937,20035300
2021-09-08,47.9640825461,48.7144637747,47.9640825461,48.6627120972,12040100
2021-09-09,48.4557242690,48.6627244514,48.1279701416,48.1797218323,12545400
2021-09-10,48.3090859534,48.4125893130,47.8864587506,47.9640846252,10573700
2021-09-13,48.0762024405,48.6454576490,48.0762024405,48.3608283997,20274300
2021-09-14,48.5954730584,48.6476153191,48.2739374055,48.3955993652,13918900
2021-09-15,48.3869028997,48.6649882818,48.1609564548,48.5607070923,15746000
2021-09-16,48.4216709485,48.6563061430,47.6395536337,48.1001319885,17430400
2021-09-17,47.8133426480,47.9610740299,47.2484799541,47.3093109131,33370200
2021-09-20,47.0225494968,47.2745654319,46.6923218340,46.9790992737,27542500
2021-09-21,47.2658678877,47.6395457301,46.8748092952,46.9704017639,16418200
2021-09-22,47.3701566128,47.4136101528,46.9791012730,47.0399322510,12719700
2021-09-23,47.1528896710,47.4657365119,46.9269465721,46.9617080688,13836200
2021-09-24,46.9269523336,47.1355180248,46.8052903950,46.8313598633,9682200
2021-09-27,46.7966056214,47.1442140557,46.5532817065,46.5880432129,12429500
2021-09-28,46.4576847223,46.4576847223,45.5625975661,45.7450904846,19926100
2021-09-29,45.7450889011,46.1969784802,45.6755692124,46.0231742859,13941500
2021-09-30,46.2056568305,46.3447028067,45.5625857655,45.5973472595,17672000
2021-10-01,45.8667516828,46.2317408290,45.6842587673,46.0753173828,16277400
2021-10-04,46.1100748936,46.5185109100,45.5365234121,46.0492439270,18973400
2021-10-05,46.0753182250,46.4663768477,45.9971065005,46.1274604797,17173100
2021-10-06,45.8580552907,46.7270728175,45.6321088773,46.6749305725,21284500
2021-10-07,46.9182624509,47.1702750396,46.7618390151,46.8226699829,13774400
2021-10-08,46.9269535504,47.2658699068,46.8400531106,47.0312347412,13786800
2021-10-11,47.1094503023,47.2658737588,46.9356460935,47.1268310547,12378500
2021-10-12,47.2919432298,47.6482436812,47.1181423360,47.1268310547,19474400
2021-10-13,47.0746828372,47.3006292746,46.7444585287,47.1355171204,12143300
2021-10-14,47.2658615968,47.6308506729,47.1963419201,47.4570465088,13704000
2021-10-15,47.4831245721,47.6916902699,47.1789697161,47.3440818787,17867000
2021-10-18,47.2311140444,47.2658755505,46.8052971974,46.8748168945,15861800
2021-10-19,46.9617195298,47.1007622358,46.7270843419,47.0573120117,11068500
2021-10-20,47.0833828703,47.5874114512,47.0225518918,47.4744415283,12474800
2021-10-21,47.4483602071,47.5091911746,47.1094438694,47.2311058044,14388300
2021-10-22,47.2658661741,47.3875281062,46.9877808105,47.3180084229,12828600
2021-10-25,47.2571850401,47.3353967683,46.9443381272,47.1268310547,11855000
2021-10-26,47.2050418302,47.4309882917,47.1268301036,47.3353958130,12086700
2021-10-27,48.6389185573,48.7345110285,48.0306055440,48.2478599548,24019800
2021-10-28,48.4477368785,48.7605837815,48.3347636490,48.6997528076,15928000
2021-10-29,48.5520176422,49.0734302477,48.4738059171,48.9865264893,24463700
2021-11-01,49.0039023723,49.0125944048,48.5780856009,48.8127174377,11651100
2021-11-02,49.0734271888,49.0994966571,48.6389183688,48.7518882751,11498900
2021-11-03,48.6649877210,48.9517651327,48.4738027799,48.9170036316,10788300
2021-11-04,48.7605845431,49.2124741529,48.6910615346,49.1864013672,10820200
2021-11-05,49.3949661255,49.6730515239,49.1777117008,49.3949661255,12886700
2021-11-08,49.3167489550,49.4384108890,48.7779589695,48.9517631531,12828000
2021-11-09,49.0212896740,49.1168821540,48.7432042675,49.0908126831,10155800
2021-11-10,49.1342602991,49.4644846299,48.9170058797,49.2906837463,8813600
2021-11-11,49.3862790499,49.4297292732,49.1603325843,49.3080673218,7257700
2021-11-12,49.3167531920,49.5253188932,49.1429489935,49.1950912476,10162500
2021-11-15,49.1255732111,49.2559272020,48.8996300508,49.2037849426,10289200
2021-11-16,49.2037833898,49.4818688007,48.8301054973,48.8561782837,13756500
2021-11-17,48.6997499562,48.7084386741,48.3608336028,48.5867767334,13288700
2021-11-18,48.5172527462,48.6041531776,47.9176284986,48.1522636414,15380100
2021-11-19,48.1783441940,48.2217977347,47.7090771155,47.9089508057,15813700
2021-11-22,47.8828678434,48.6823657494,47.8654904089,48.2044067383,16905600
2021-11-23,48.3695221489,48.7605807535,48.2304794579,48.5607070923,13835900
2021-11-24,48.4129710910,48.5259443104,47.8220388408,48.1696472168,12598900
2021-11-26,47.4396775482,47.5787202511,46.5619711081,46.6923217773,14754300
2021-11-29,46.9704066702,47.5613389795,46.8661254730,47.4309883118,22712500
2021-11-30,46.9405593973,46.9668343709,45.9246817240,45.9334411621,30485200
2021-12-01,46.3975969802,46.8705064756,45.7845665241,45.8020820618,18719600
2021-12-02,46.0648031754,46.7128646327,45.9859849352,46.4764099121,17074200
2021-12-03,46.7041000376,46.9493108110,46.3975832300,46.8880081177,21064400
2021-12-06,47.5623464016,48.3855564765,47.4134660291,48.0877990723,26624100
2021-12-07,48.1841399410,48.5344406595,48.0352595466,48.3505325317,23832700
2021-12-08,48.2717082154,48.4731318549,47.6061345955,48.1666183472,18026300
2021-12-09,47.9476802038,48.2804686913,47.8075592628,48.0440139771,13846400
2021-12-10,48.3855541316,49.3226134647,48.2279176698,49.2875823975,23153600
2021-12-13,49.9006129768,50.7325824535,49.8830974431,50.5837020874,31362800
2021-12-14,50.2684393821,50.9427691477,50.2684393821,50.6187400818,24806600
2021-12-15,50.7325862397,51.0128281183,50.4873754311,50.8464355469,24923800
2021-12-16,50.7763775139,51.5645599493,50.7063187090,51.3631362915,24696900
2021-12-17,51.2230149123,51.5995872496,50.5311662627,50.5574378967,51874400
2021-12-20,50.0932833934,50.6012205370,49.9181313871,50.3910408020,20879500
2021-12-21,50.4523549225,50.7676279371,50.3822927678,50.5924758911,15864900
2021-12-22,50.5399161273,50.9602789238,50.3472519335,50.9515228271,12447400
2021-12-23,51.2492833531,51.3281015911,50.7413428550,50.9865570068,11027300
2021-12-27,50.7938930503,51.3981640236,50.7938930503,51.3631362915,9860000
2021-12-28,51.1441895175,51.6170955679,51.0566118483,51.5645523071,8979900
2021-12-29,51.6258659363,51.7572274567,51.3718956531,51.6258659363,9996000
2021-12-30,51.7221886194,51.8710656454,51.4594589535,51.4769744873,7703900
2021-12-31,51.4507064889,51.9761591763,51.4069193217,51.8535537720,10021300
2022-01-03,51.5120140042,51.9411363003,51.1266822202,51.9323768616,20187300
2022-01-04,52.3089486592,53.0183128074,52.1863432525,52.7993736267,26141600
2022-01-05,52.6242171449,53.5963075593,52.5891860772,53.2372474670,22507300
2022-01-06,52.9570083618,53.5262482085,52.9307333893,52.9570083618,17902300
2022-01-07,52.7906134835,53.1759485746,52.5979492788,52.8344039917,12307900
2022-01-10,53.0270678661,53.2635225776,52.7030388204,52.9219779968,20954300
2022-01-11,52.9219833646,52.9745299749,52.4052867221,52.9394989014,19369600
2022-01-12,53.0095549233,53.1496758694,52.7117974951,53.0183143616,15753800
2022-01-13,53.0183222649,53.4562007044,52.8869573967,53.3335952759,14318000
2022-01-14,53.3686231214,53.8152610015,52.8606858677,53.7627143860,19729600
2022-01-18,53.4737162429,53.5875622319,52.9395040121,53.3335952759,21976700
2022-01-19,53.1234004301,53.5787943076,53.0358260978,53.4211578369,18654700
2022-01-20,53.4211562671,53.8064879949,53.1759454713,53.2022171021,23002400
2022-01-21,53.4912266174,53.6838908405,52.8957117298,52.9394989014,26643200
2022-01-24,52.4578250858,52.8519129088,51.2930671286,52.5103683472,30185100
2022-01-25,51.9849204941,52.5891914406,51.3981617426,52.3877677917,19027100
2022-01-26,52.3614986177,52.8519202759,51.8535580824,52.1951026917,19190200
2022-01-27,52.4403114243,53.3598552787,52.1075229473,52.2388877869,18893800
2022-01-28,52.0111959744,53.3248311783,51.6171047450,53.2810440063,19101500
2022-01-31,52.8081299082,53.5437656916,52.6767684037,53.4299163818,22045300
2022-02-01,53.3423411494,53.5437647921,52.6855236159,53.0358276367,20841700
2022-02-02,53.0883752007,53.6576184454,53.0358319319,53.5788002014,20225600
2022-02-03,53.3686131192,54.1042488950,53.0620996047,53.9553718567,19440500
2022-02-04,53.8502884890,54.0166810826,53.0445904750,53.3861351013,17403700
2022-02-07,53.7539453015,54.0517027027,53.2985514326,53.9466094971,17846400
2022-02-08,54.1480399219,54.5859182845,54.0692216830,54.2969169617,18771700
2022-02-09,54.4457908385,54.5771556760,53.3335828020,53.4561882019,23595600
2022-02-10,52.8606797110,54.5596466594,52.7205587600,53.7539520264,23561500
2022-02-11,54.0954931757,54.2794012858,52.6767682200,52.7993736267,22781400
2022-02-14,52.6855286125,53.2372563283,51.9148616980,53.1409225464,23641300
2022-02-15,53.3861219095,54.1042420593,53.0971239666,53.3423347473,13408700
2022-02-16,53.2985641989,53.7714737154,53.0358378033,53.3335952759,15484700
2022-02-17,53.0270739527,54.5421328267,52.9044685344,54.4020118713,21468700
2022-02-18,54.4020016403,55.0150319576,54.2881556823,54.7698211670,21975000
2022-02-22,54.6734905420,54.8573986455,54.0517040925,54.5421257019,21731400
2022-02-23,54.5070979527,54.5859161885,53.7189155940,53.9378547668,19248500
2022-02-24,52.5191288468,53.0883686808,51.8623113408,52.9920349121,27207400
2022-02-25,53.3686141296,55.0850998660,53.3510985940,55.0413093567,21487800
2022-02-28,53.9904063371,54.5946773072,53.7802232419,54.5071029663,25879100
2022-03-01,54.4195221808,54.9537343159,53.8677945104,54.2706451416,15871100
2022-03-02,54.4983480240,55.0675913091,54.1042567759,54.6735000610,17319100
2022-03-03,54.8311320249,55.1901921677,54.5508901251,54.7085266113,21262800
2022-03-04,53.8240138181,54.8136199686,53.5963185128,54.7961044312,17163000
2022-03-07,54.3056769354,54.3582235453,53.1759532182,53.4912261963,29151400
2022-03-08,53.8152491694,53.8940674050,51.3105845061,51.3718872070,30242100
2022-03-09,52.3877643162,52.4052798507,51.3718867013,51.6346130371,23022700
2022-03-10,51.2142535170,51.3718899968,50.3560123167,50.6888008118,20887300
2022-03-11,50.7588584325,51.5382813748,50.6712840972,50.7238273621,19855600
2022-03-14,51.1562384851,52.1004709918,51.1562384851,51.6592407227,17799400
2022-03-15,52.1357709194,52.8505618106,52.0475228446,52.6122970581,18607200
2022-03-16,52.7534907758,52.8946843297,51.7210135448,52.4711036682,17347300
2022-03-17,52.4710989771,53.0711723687,52.2681334720,53.0270500183,15586200
2022-03-18,53.2123700094,53.2123700094,52.6917181550,53.0358772278,30197800
2022-03-21,53.3888589434,53.9183338839,53.1682438238,53.4594573975,17440100
2022-03-22,53.7683157724,53.7859653854,53.0005761194,53.6535949707,17559500
2022-03-23,53.6094732194,53.8124387223,52.9476278710,53.3006134033,15529200
2022-03-24,53.5124022709,53.8477381915,53.3535591173,53.8124389648,13151300
2022-03-25,53.9359780874,54.3683851597,53.8742061295,54.2977867126,12259800
2022-03-28,54.2977972491,54.6596059445,54.0154101389,54.6419563293,11485200
2022-03-29,54.8978630408,55.1802501116,54.4831089240,54.8537406921,14720600
2022-03-30,54.7213725273,54.8978652954,54.3242680069,54.8978652954,13641000
2022-03-31,54.9066973328,55.2773291536,54.7125549316,54.7125549316,16822900
2022-04-01,55.0037671402,55.5508917330,54.7919751291,55.4802932739,12644900
2022-04-04,55.2420133040,55.4096829151,54.4654506656,55.1890678406,11505800
2022-04-05,55.0655397373,55.8068067349,55.0390636316,55.1273117065,15721200
2022-04-06,55.3920402429,55.8244439579,54.9772827737,55.6832504272,19267400
2022-04-07,55.7097234396,56.1862494753,55.3390883381,55.9832839966,13960800
2022-04-08,56.0185828403,56.5127618502,55.7361957965,56.3274459839,12703500
2022-04-11,56.3980515289,56.7422139584,56.1597867853,56.3098068237,12720100
2022-04-12,56.8128022025,57.1922604710,56.3803984607,56.9716453552,18089900
2022-04-13,56.8657668153,57.2452251666,56.6804508855,57.1216812134,11883000
2022-04-14,57.3246294486,57.8629308563,57.2010855255,57.3775749207,16388400
2022-04-18,57.1569676720,57.5187797343,56.6363191718,56.8657608032,11679400
2022-04-19,56.9187011328,57.5805464948,56.8657556583,57.4217033386,11993800
2022-04-20,57.7482157992,58.4541801416,57.7129165722,58.2070922852,14827100
2022-04-21,58.2247493331,59.1248561206,57.9953077078,58.4277114868,15120400
2022-04-22,58.3129872967,58.5424221628,57.5187715568,57.5805435181,14902200
2022-04-25,59.1248514385,59.3013408393,57.1657881196,58.1894454956,25082000
2022-04-26,57.8188073166,58.5689041059,57.3952300592,57.4040565491,21982600
2022-04-27,57.3599349709,58.4894833824,57.3599349709,57.8541107178,16971000
2022-04-28,57.0598937091,58.4894752736,56.9186968109,58.4100570679,22010600
2022-04-29,58.1276758948,58.2688660746,56.9098760888,57.0157737732,20137100
2022-05-02,57.6070111928,57.6334839263,55.2243709151,55.9832839966,24970300
2022-05-03,56.2303893152,56.4245283540,55.3038030118,55.6656150818,21686300
2022-05-04,55.5950047937,57.4658232518,55.5420559583,57.3863983154,19780200
2022-05-05,57.0863753650,57.3864087215,56.4863019193,56.9275321960,20155200
2022-05-06,56.6539674500,57.6334992481,56.5392499965,57.1304969788,18984000
2022-05-09,56.8922298411,57.6776191520,56.5127715546,57.0157737732,20055300
2022-05-10,56.9186975166,57.6423147971,56.3450968928,56.4862937927,21322200
2022-05-11,56.7686905795,57.5364269732,56.4421777420,56.7510375977,19648400
2022-05-12,56.6186723488,56.9451784448,55.7803307833,56.9275321960,22574700
2022-05-13,57.1922693590,58.0659102009,56.5833761229,57.9953117371,16167000
2022-05-16,57.7482157992,58.5777240699,57.7482157992,58.2070922852,13223200
2022-05-17,58.3306315372,58.3306315372,57.3687529255,58.0482444763,21300600
2022-05-18,57.7305652500,57.8188099550,53.7947921628,54.0065841675,31437300
2022-05-19,53.7947931374,53.7947931374,52.6475951209,52.9476318359,31493900
2022-05-20,53.3800352204,54.0418805718,52.6475914157,53.8124389648,29133800
2022-05-23,54.4036971789,55.6832623521,54.3507483311,55.4714736938,19406900
2022-05-24,55.4891198881,56.6451444113,55.3743990749,56.4951210022,16154200
2022-05-25,56.4774736380,56.8922311622,56.1244880812,56.5392456055,15360500
2022-05-26,56.5392377186,57.4481708559,56.4421665357,56.7422065735,16159800
2022-05-27,56.7069095835,57.2099117634,56.6010119073,57.0775413513,17709000
2022-05-31,56.5480704660,56.7598591009,55.6391338617,55.9303474426,43159000
2022-06-01,55.9656438894,56.1950855070,54.8272723907,55.6567840576,15408300
2022-06-02,55.7538480479,56.2480270811,54.8096156941,56.2392005920,14586000
2022-06-03,56.0980097673,56.1509586054,55.4273413157,55.5685348511,13539900
2022-06-06,55.8862276812,56.2745091074,55.2949773682,55.4802932739,15112800
2022-06-07,55.0478958642,55.9215300158,54.9067022959,55.8156356812,17886300
2022-06-08,55.5861919536,55.7803309870,55.2067336449,55.4979438782,10211500
2022-06-09,55.4802889547,55.9038695774,54.5184069051,54.5360565186,13382200
2022-06-10,53.8389165946,54.6154828201,53.3535639661,54.1919021606,14967600
2022-06-13,53.6094789039,54.9684689713,53.5388804434,54.1301307678,23064200
2022-06-14,53.9790214991,54.1212351541,52.1391308540,52.6457672119,24620000
2022-06-15,53.3301751961,53.8990298557,52.4146749402,53.0368576050,19684700
2022-06-16,52.1213592385,52.9035361191,51.7747136297,52.5035591125,15053800
2022-06-17,53.0635221013,53.4457219406,52.5568857359,52.8235359192,34781900
2022-06-21,52.8768672531,54.1123490338,52.4502228915,53.9523582458,17705000
2022-06-22,53.8634704636,54.6189832413,53.6145974214,54.3523330688,15207100
2022-06-23,54.4856521767,55.0278427394,54.4234339210,55.0011787415,17190900
2022-06-24,55.2056162645,56.0500113226,55.2056162645,56.0322341919,18147100
2022-06-27,55.9789052765,56.2544457280,55.6678139527,55.9166870117,12142100
2022-06-28,56.0677916756,56.6721971997,55.2056194373,55.3567199707,13150100
2022-06-29,55.5878171352,56.0944535013,55.4900446100,55.7566947937,11795500
2022-06-30,55.3922735012,56.0944549356,55.2500598402,55.9166870117,15514200
2022-07-01,56.1033420694,57.2854924960,55.8366918777,57.2232742310,15143200
2022-07-05,57.0455098456,57.0455098456,55.4811561729,56.2455558777,15921200
