Date,Open,High,Low,Close,Volume
2021-08-25,292.0450140135,292.3233431392,288.3212965855,289.8472595215,20006100
2021-08-26,288.8683677300,290.2503776581,286.9105447389,287.0448913574,17666100
2021-08-27,286.9488027198,288.7530943946,284.8757886225,287.6494140625,22605700
2021-08-30,288.9931195332,291.9682804290,288.9355382304,291.3636474609,16348100
2021-08-31,292.1601886127,292.2369539074,289.3577720955,289.7224731445,26285300
2021-09-01,290.6725935557,292.8991678511,289.3481652370,289.6744689941,18983800
2021-09-02,290.0295817545,291.1428395717,288.0909139977,289.0218505859,16285600
2021-09-03,288.8682855531,290.4134616019,288.1677034296,289.0122680664,14747900
2021-09-07,288.8875630689,288.9643283763,286.1907313337,288.0909729004,17180400
2021-09-08,287.7069838073,288.5035443994,285.4900165884,288.1196594238,15046800
2021-09-09,288.7052258113,289.9720731065,285.0390598307,285.2789916992,19927000
2021-09-10,286.4018157451,287.8414066046,283.4842367358,283.8009338379,19633400
2021-09-13,285.5668333481,286.5169832479,282.2365785978,285.0293884277,23652900
2021-09-14,287.4958659786,289.2521830847,286.0946725245,287.7166137695,21853400
2021-09-15,291.0468952159,293.0239310078,289.6648856327,292.5440673828,28356300
2021-09-16,291.5267544350,293.0143199346,288.6475727284,292.9279479980,19550800
2021-09-17,291.9202406041,292.2369376988,287.4670922568,287.7933959961,41372500
2021-09-20,284.3959685721,286.6897308022,277.8602282170,282.4477233887,38278700
2021-09-21,283.7817224890,285.5572235690,282.2269691968,282.9275512695,22364100
2021-09-22,284.7798565179,288.1292950020,282.6492610079,286.5553283691,26626300
2021-09-23,286.8144515647,288.7818804171,285.5476047552,287.4958496094,18604600
2021-09-24,286.2194826708,287.7262322696,284.9718196101,287.2943725586,14999000
2021-09-27,284.2136005911,284.5302976507,281.1424621218,282.3229370117,23571700
2021-09-28,278.1289850116,279.0695283947,271.3629186493,272.1018981934,43186200
2021-09-29,273.6182669532,275.2209951887,271.6124403532,272.5625610352,26353700
2021-09-30,274.2037216821,276.2383391910,270.2784399241,270.5663757324,32343600
2021-10-01,270.7582465838,278.3017179849,269.9616858547,277.4571533203,30086300
2021-10-04,275.8255502627,276.1614605903,268.9635076644,271.7083129883,31350700
2021-10-05,272.6104927684,278.7047661968,272.6104927684,277.1308288574,24993000
2021-10-06,274.2708458555,281.8047104478,274.0117300480,281.3056335449,28002600
2021-10-07,283.2922830435,284.6935059183,282.0830466229,282.9755859375,20430500
2021-10-08,284.2904075858,284.6935059183,281.9294867481,282.9755859375,17685700
2021-10-11,281.1233746310,285.9699864879,280.9602080792,282.3806152344,19298600
2021-10-12,283.4458205537,283.5417991290,280.5762456708,281.0848999023,17974100
2021-10-13,283.0331577702,285.3077065938,281.6703322317,284.3767700195,23416300
2021-10-14,287.1600214701,291.0565122939,285.8355929981,290.5574645996,27262900
2021-10-15,290.1638722350,292.1889115367,288.4171619780,291.9585571289,25384800
2021-10-18,291.3444250695,295.7975445356,290.4998603548,294.9146118164,22729300
2021-10-19,295.9319045276,296.8436278455,294.8474080448,295.8167419434,17682100
2021-10-20,296.7572519569,297.2275382211,293.7820916524,295.0297546387,16537100
2021-10-21,294.7994554629,298.4943822353,294.0220493838,298.2448730469,16918100
2021-10-22,297.8993420063,298.5615561729,295.4040452193,296.7092895508,17449300
2021-10-25,296.9012405801,296.9396378751,294.1180371074,295.7207946777,17554500
2021-10-26,298.4752041099,299.8188165343,296.1718643410,297.6210327148,28107300
2021-10-27,303.2738325731,312.9670843453,303.2738325731,310.1550903320,52588700
2021-10-28,311.2683233316,311.7865842428,308.4179322530,311.2875366211,26297900
2021-10-29,311.0764520515,318.6295021297,310.8557042019,318.2648010254,34766000
2021-11-01,318.0151023506,318.1398715380,313.2260743289,316.1052551270,27073200
2021-11-02,317.0075207368,320.0210785041,316.7100076182,319.7139587402,26487100
2021-11-03,320.4529105811,321.4126377942,317.3337971387,320.5488891602,21500100
2021-11-04,319.4835749230,322.9865730521,316.2396925724,322.8905944824,23992200
2021-11-05,324.8773141787,325.1460366648,320.9520328372,322.5259704590,22570100
2021-11-08,323.7160312090,324.0519416472,320.9712249806,323.4185180664,20897000
2021-11-09,323.5336068459,325.0787827940,321.0575236754,322.4203491211,21307400
2021-11-10,321.0958813191,321.1534625982,316.6331564615,317.4776916504,25500900
2021-11-11,317.9096735712,320.3281758648,317.1994847294,319.0421447754,16849800
2021-11-12,320.4721987194,323.6488941934,320.3474294664,323.1594238281,23831000
2021-11-15,323.9463225960,324.2726263247,320.5776708005,322.5355224609,16723000
2021-11-16,322.1612942199,326.9503539753,321.9981569596,325.8370666504,20886800
2021-11-17,325.8851065762,329.0099268651,324.9813100529,326.0581665039,19053400
2021-11-18,325.1542656327,329.2598162122,324.1350961513,328.1252441406,22463500
2021-11-19,329.4425708261,331.8078109455,329.0195159309,329.8944396973,21963400
2021-11-22,331.3462339864,336.2017402614,326.4715086166,326.7407226562,31031100
