Date,Open,High,Low,Close,Volume
2021-08-25,73.7759819337,74.4072963791,73.2849625605,74.1179428101,5930000
2021-08-26,74.0871065410,74.1575750244,73.6995366026,73.8228530884,5294000
2021-08-27,73.9373465798,74.1575554922,73.4088398138,73.4705047607,5974200
2021-08-30,73.3383796915,74.2104051222,73.1181707742,73.9461517334,6001700
2021-08-31,73.8316666717,74.3777873624,73.5586096865,73.9814071655,6844000
2021-09-01,74.1223345559,75.5404807438,74.0430558386,75.1705245972,5862300
2021-09-02,75.2409921034,76.2011066158,75.2409921034,76.1746826172,5214000
2021-09-03,75.5404790371,76.0249346882,75.2057571368,75.4788208008,4621100
2021-09-07,75.2585838134,75.3026215543,74.4041723425,74.8974380493,6791300
2021-09-08,74.9767395522,76.6062843042,74.6860621493,76.1394424438,6230100
2021-09-09,76.0073344920,76.3420497318,75.5316822753,75.6109542847,4108300
2021-09-10,75.7254418298,75.7254418298,74.5186945712,74.8093719482,5508000
2021-09-13,75.6549992062,75.6990436918,74.3337452812,74.5011062622,6498800
2021-09-14,74.6860512444,75.0383868281,74.3865636463,74.5539245605,4658200
2021-09-15,74.2808786677,74.9943534580,74.0430492574,74.5275115967,5707000
2021-09-16,74.4130079792,74.8446156201,73.6907229247,73.9902038574,5380600
2021-09-17,73.4617031663,73.9285450403,71.8321583668,71.9114303589,15390400
2021-09-20,71.8233557618,72.7041916087,71.0482226359,71.9554824829,8994100
2021-09-21,72.1668607748,72.9860381493,71.9906963433,72.1580505371,6450700
2021-09-22,72.3078113943,73.0301032397,71.8497797112,72.1404571533,5662200
2021-09-23,72.3870970649,72.5632615629,71.4710268904,71.5855331421,6414300
2021-09-24,71.5590871213,71.9907014332,70.8984603765,71.0834350586,6113800
2021-09-27,70.4756631063,71.1627138466,69.1896438479,69.3746185303,8600900
2021-09-28,69.1279735547,69.2248592778,67.8331442840,68.0621566772,9257400
2021-09-29,68.3704672340,69.6124420361,68.2207200624,69.0134735107,7496100
2021-09-30,69.4450827901,69.9471655864,68.6171018087,69.1632156372,10186800
2021-10-01,69.6036503798,70.1057265777,68.7228144732,69.7710113525,7961100
2021-10-04,69.6300726303,70.3963954748,69.1544204922,69.9031295776,6027800
2021-10-05,69.9647827346,70.3787766055,69.6652950900,70.0088272095,5434600
2021-10-06,69.8150528481,71.6031485867,69.2777424305,71.5062561035,6876200
2021-10-07,71.7705095951,72.7658517082,71.1627306947,71.2772369385,5753200
