Date,Open,High,Low,Close,Volume
2021-08-25,54.6598857366,55.1096935255,54.4766300054,54.8681297302,3037100
2021-08-26,54.8764534950,55.2013136083,54.7015293075,55.0930290222,3378600
2021-08-27,55.2013146825,55.3262623489,54.8348095776,54.9680824280,3579600
2021-08-30,54.8598010882,54.9680856828,54.6848768869,54.7681732178,3221100
2021-08-31,54.6848710206,54.9430915250,54.4682954995,54.7515106201,4581500
2021-09-01,54.9514278656,55.6094796697,54.8514684575,55.3762474060,3574900
2021-09-02,55.4761966267,55.7927315528,55.4178885648,55.6844406128,3544200
2021-09-03,55.6344756025,55.6344756025,55.1346912034,55.2013244629,2891300
2021-09-07,55.6927586653,55.9010026009,55.0347070659,55.1346664429,6416900
2021-09-08,55.1596709183,56.1925593635,54.9847467235,56.0676116943,4759600
2021-09-09,56.0259558450,56.2591880595,55.8843451247,55.9593162537,4789800
2021-09-10,55.8427082309,55.9010162930,55.0680403463,55.1513366699,3818800
2021-09-13,55.5095251763,55.7011124700,55.0014092617,55.2513046265,3243700
2021-09-14,55.3095997130,55.5095121448,54.7848208412,54.9514198303,3252700
2021-09-15,54.7764972349,55.2596184294,54.4932821228,54.9847412109,3037000
2021-09-16,55.0846967081,55.2596208932,54.3183603674,54.4599647522,4049400
2021-09-17,54.1517657629,54.4599627828,53.3770979113,53.4270744324,9457600
2021-09-20,53.3521165321,53.7269531984,52.7190529785,53.2771453857,4444100
2021-09-21,53.4354030837,53.8768792759,53.1438596240,53.1521911621,3381600
2021-09-22,53.3187911615,53.4520640059,52.8773117570,52.9855995178,3500100
2021-09-23,52.9939367791,53.3771081869,52.7440445932,52.8106842041,2802500
2021-09-24,52.7440434058,53.0938950003,52.4858196856,52.6107673645,3449600
2021-09-27,52.6024321814,53.0688966768,51.9777002229,52.0110168457,3375400
2021-09-28,52.0360076039,52.1609520875,51.2779996312,51.5945281982,5101000
2021-09-29,51.6195199508,52.5857719129,51.4862439277,52.1776123047,3889600
2021-09-30,52.3192181732,52.4025144933,51.5861984809,51.6195182800,4987400
2021-10-01,51.9360521803,51.9610436210,51.3029918203,51.4362678528,4654900
2021-10-04,51.2779936441,52.1692775350,51.2280139500,52.0026817322,6268900
2021-10-05,52.1942728236,52.3525371100,51.5778692234,51.6944885254,4266400
2021-10-06,51.4945707803,52.2942268956,51.1946989426,52.2525787354,3386900
2021-10-07,52.4774859811,52.8773140644,52.0609979971,52.2026023865,2863400
2021-10-08,52.1859489565,52.4441694892,51.9610450497,52.1109809875,2624000
2021-10-11,51.9610446111,52.0443409415,51.4362688329,51.5778732300,3238300
2021-10-12,51.6028577978,51.9943543112,51.4445903426,51.7278022766,2600900
2021-10-13,51.6861563245,52.1109758324,51.2363485553,52.0693244934,3200100
2021-10-14,52.2775732720,52.7607008857,52.0859891700,52.6940612793,2853900
2021-10-15,52.6857296939,53.0605695130,52.4858140646,52.5857734680,2895900
2021-10-18,52.1776162557,52.2692441243,51.6528404847,52.0193519592,4180200
2021-10-19,52.1692798362,52.6024276717,52.0943118805,52.4524917603,2661200
2021-10-20,52.6524130552,53.2854766050,52.6524130552,53.0689010620,2688200
2021-10-21,53.1855101784,53.4603937519,53.1105422200,53.4437370300,2895000
2021-10-22,53.4520575150,53.5186971067,52.3941810066,52.4358291626,5067200
2021-10-25,52.3108899575,52.6524099760,52.1609540296,52.3192214966,2632300
2021-10-26,52.4191835280,53.1938515153,52.3525439182,52.7107238770,3686000
2021-10-27,52.6690682357,52.8439924203,52.1276357820,52.1776123047,2854400
2021-10-28,52.0776619197,52.3442139958,51.8610863718,52.2609176636,2714600
2021-10-29,52.2359242801,52.5524560503,51.6944917857,51.9110641479,3718700
2021-11-01,51.9776979912,52.2692382884,51.7944422744,52.0443344116,3469600
2021-11-02,52.2109376411,52.2775740710,51.7111532958,52.0526733398,3806200
2021-11-03,51.8944056826,52.2275973634,51.5695455415,52.1026496887,4064100
2021-11-04,52.1526325152,52.2609202946,51.4529324858,52.0610046387,3797400
2021-11-05,52.2525831615,52.7773589218,52.1109787692,52.5607833862,3611600
2021-11-08,52.7607010860,52.7773609876,51.8444287376,52.1609573364,4727100
2021-11-09,52.1942754206,52.9522834446,52.0693277511,52.7690277100,5442700
2021-11-10,52.5607916579,53.2688232632,52.4525070507,53.1938552856,3753300
2021-11-11,53.0105866228,53.1521941804,52.2442503077,52.5191307068,3772600
2021-11-12,52.3507755648,52.5528060244,51.8793765110,52.0982398987,4157600
2021-11-15,52.2834384968,52.5191380429,51.9972305288,52.3591995239,3473700
2021-11-16,52.4854661095,52.7380050091,52.1655890693,52.1908416748,4492500
2021-11-17,52.1908362342,52.4349554324,51.7867785326,52.3339385986,3727000
2021-11-18,52.1824233724,52.2245121171,51.7531098271,51.8793792725,3160400
2021-11-19,51.9888140672,52.8053492758,51.7783671134,52.7548408508,5363700
2021-11-22,52.6874900401,53.2262336315,52.4265347081,53.1336364746,3622900
2021-11-23,53.2430727917,53.5208642781,52.8642676790,53.0410423279,3391400
2021-11-24,53.1252218908,53.2346551901,52.8053416679,53.1168022156,2793800
2021-11-26,52.8137622309,53.1168031085,52.1487491707,52.2245101929,2353900
2021-11-29,52.4349646234,53.0326332111,52.1908453823,52.8811111450,6722200
2021-11-30,52.7632536556,52.7632536556,51.3406335888,51.4332275391,6875800
2021-12-01,51.7278475488,52.7295736153,51.4332199685,51.4668922424,5750300
2021-12-02,51.6436808852,52.8137686391,51.6100118133,52.1992607117,5742000
2021-12-03,52.5864860534,52.9147827889,52.0477423633,52.8895301819,5959400
2021-12-06,53.8154924071,55.4822350180,53.5797928590,54.4300003052,8959500
2021-12-07,54.2111327922,54.6067740652,53.8070718433,54.2700576782,4280400
2021-12-08,54.3121347691,54.6404378516,54.0932746106,54.5057487488,4511100
2021-12-09,54.5225915896,54.6404477871,53.9333427135,54.3542366028,4872800
2021-12-10,54.6236009220,55.0865867054,54.3542291268,54.7835426331,4207500
2021-12-13,54.7583005038,56.0293954936,54.7162085437,55.7095184326,8051400
2021-12-14,55.7010850570,55.9452042365,55.2801912486,55.5327301025,4289700
2021-12-15,55.2465152317,56.4165994259,55.2465152317,56.1893196106,5217700
2021-12-16,56.1724854798,56.9553481504,56.0293767168,56.8627510071,4740400
2021-12-17,56.8206778005,57.4183463815,56.1893369361,56.2650947571,10776000
2021-12-20,55.6758311567,56.6102159032,55.3307015815,56.5007858276,4457300
2021-12-21,56.6944070209,56.8206764753,55.7852746559,55.8862915039,6802800
2021-12-22,55.7768554372,56.1809099413,55.7768554372,56.1051521301,2349700
2021-12-23,56.2314245979,56.4418715367,55.9957186318,56.0125579834,2126500
2021-12-27,56.1472451235,56.3829511083,55.8694600234,56.3661117554,1888800
2021-12-28,56.5260476143,57.0226992945,56.3997781697,57.0142860413,2152800
2021-12-29,57.0311157157,57.3425794715,56.9553579067,57.3004875183,2321300
2021-12-30,57.4267707234,57.6035454092,57.0479623206,57.5446205139,3203800
2021-12-31,57.4604445623,57.9823489565,57.3762670558,57.7298164368,3609700
2022-01-03,57.6624617607,57.6961340419,56.7028242247,57.3846702576,3616600
2022-01-04,57.2584008087,58.1843724858,57.1826429927,57.3846702576,5259900
2022-01-05,56.9469435489,58.0581031411,56.9469435489,57.4520149231,4542900
2022-01-06,57.5193593824,57.8308167443,57.0816261491,57.3846702576,4015300
2022-01-07,57.1405548583,58.2012093088,56.7954251920,57.7803153992,4380300
2022-01-10,57.7382150150,58.2769650492,57.5530271165,57.6877098083,5599200
2022-01-11,57.6877122681,57.8139817124,56.5849723939,56.9469413757,4071900
2022-01-12,56.6607361079,57.1910665448,56.5513060034,57.0563774109,3043500
2022-01-13,57.1321355193,57.6877120812,56.8543440271,57.5361900330,3617800
2022-01-14,57.5782792460,57.8644839777,57.1742183292,57.7971458435,5700600
2022-01-18,57.4856881061,57.6540430927,56.6691529342,57.2499885559,4240300
2022-01-19,57.3425773225,58.0244232673,57.0311135784,57.5193519592,3728000
2022-01-20,57.6035345257,58.0328480656,57.0647908932,57.1405487061,4225100
2022-01-21,57.6877035513,57.8392255771,56.9553524451,57.0816154480,5959000
2022-01-24,57.0479564732,57.3257479890,55.0529234942,56.7112464905,8840400
2022-01-25,56.3492697354,57.0732076589,56.1556557418,56.6102218628,8001100
2022-01-26,56.5597233369,57.2752416698,55.9283824981,56.4166145325,6076000
2022-01-27,56.8206649551,57.8223942887,56.8038320283,57.2668113708,6318100
2022-01-28,57.2415596782,58.1085999223,56.9385156132,58.0833473206,6140300
2022-01-31,57.6035300388,58.7315224246,57.4856802798,58.4958229065,14481900
2022-02-01,58.2769836267,58.3190691715,56.7701823990,57.2331619263,6632600
2022-02-02,57.2836544922,58.0328450176,56.8964265058,57.9234085083,6443600
2022-02-03,58.0833610232,58.4116577673,57.5867092797,58.2938079834,5654100
2022-02-04,57.7887268607,58.3190507994,57.3594133357,57.8223991394,6456000
2022-02-07,57.1573883088,57.3341629619,56.5765527184,56.9469413757,7758700
2022-02-08,57.3930792902,57.4688370921,56.9385132118,57.1489601135,4136900
2022-02-09,57.5193649604,57.5698701759,56.9974541847,57.3089179993,4001200
2022-02-10,57.0732121368,57.0732121368,55.4064695625,55.5158996582,7823100
2022-02-11,55.7516005300,56.5344633245,55.6926756496,56.2229995728,8139100
2022-02-14,56.3155926680,56.4502753466,54.8677169442,55.4317131042,7365500
2022-02-15,55.7936903922,55.9536321179,54.4299983633,54.7330360413,6117700
2022-02-16,54.7751245302,55.1118408894,54.1353640899,54.6067695618,7320400
2022-02-17,53.7733907089,54.7919496837,53.4114217980,54.5394172668,7046400
2022-02-18,54.2587812334,54.6925098806,53.9271058131,54.2332687378,9113100
2022-02-22,54.3268141605,54.8881117256,53.7229914474,54.6754989624,7425800
2022-02-23,54.6840095803,54.9306346952,53.3487983380,53.4423484802,5992500
2022-02-24,53.1531918211,53.5529048617,52.5323629299,53.4763641357,8625500
2022-02-25,54.0206531975,55.3473580553,53.8420592487,55.3133392334,8768800
2022-02-28,54.9391307959,55.2623063138,54.5139053153,55.0837059021,8132900
2022-03-01,55.0496966746,55.3303405764,53.5529010818,54.5139083862,7192400
2022-03-02,54.5479333896,55.1517528959,54.4033582589,54.9136276245,4959200
2022-03-03,55.1602562198,56.7591018753,55.1432435651,56.4699516296,6799700
2022-03-04,56.0702422179,57.4990003493,55.8406232720,57.4734878540,6514700
2022-03-07,57.6605753454,59.2254019339,56.8951682148,58.8767204285,9994900
2022-03-08,58.6130842651,59.0978410996,57.6010519372,57.6775894165,7528900
2022-03-09,58.0602850030,58.2133664375,57.0397464320,57.0822715759,5795800
2022-03-10,56.9887212750,58.4685041450,56.8526460055,58.3494415283,5693500
2022-03-11,58.1113175939,58.8086871448,58.1113175939,58.4174804688,4415500
2022-03-14,58.6300930112,59.0638183421,58.0687922464,58.3919677734,4530200
2022-03-15,59.0127933593,59.1063434867,58.1198172292,58.3919677734,4836700
2022-03-16,58.2048799097,58.4089863729,57.3884475685,58.2729110718,5351500
2022-03-17,58.3239307331,58.7576560684,58.0347740211,58.1793556213,5035900
2022-03-18,58.3069085695,58.5280276087,57.4989828523,57.8561706543,8192100
2022-03-21,58.0432744987,58.8767192439,57.9667370314,58.5875625610,4730600
2022-03-22,58.6471082917,58.7066396104,58.0177762814,58.5280456543,3441000
2022-03-23,58.5110354716,58.8852295256,58.1538410956,58.5025291443,3724000
2022-03-24,58.4770045239,59.1743739884,58.4514920356,58.9362487793,3889000
2022-03-25,59.1063454824,60.3224906921,59.0042890249,60.3224906921,5845600
2022-03-28,60.3735127165,60.5265941511,59.7867059576,60.3820190430,3276800
2022-03-29,60.3820208749,61.2920031834,60.1438956335,61.2834968567,5422300
2022-03-30,61.2324702822,61.6576957703,61.0368637028,61.6576957703,3956900
2022-03-31,61.6491975193,62.2360108460,61.5556473806,61.6662101746,5688300
2022-04-01,61.5131302738,63.0949698557,61.2069673555,63.0354385376,6034300
2022-04-04,62.4656377072,62.6102193416,61.6407054979,62.1849937439,4660800
2022-04-05,62.4401249019,63.9029019890,62.3550810805,63.2310447693,6729800
2022-04-06,63.5116889683,65.0850222195,63.2820700242,65.0680160522,6877400
2022-04-07,64.6768073736,64.8554013222,63.8178499641,64.4301757812,6436300
2022-04-08,64.6257845341,65.2211042640,64.3281279133,65.0510101318,3731200
2022-04-11,65.0510122417,65.3741878591,63.2395534722,63.3416099548,8172500
2022-04-12,63.3245838269,64.5747478972,62.9248707989,64.2430725098,6069500
2022-04-13,64.2515917741,64.3281292689,63.4096404011,64.0900039673,4667200
2022-04-14,64.1325139132,64.8724021409,63.7668197186,64.6257705688,5925800
2022-04-18,64.6342830754,65.1190399389,64.1750387065,64.4897079468,3716600
2022-04-19,64.8213881956,65.0084884882,64.1495310032,64.8639068604,3759200
2022-04-20,65.4081820029,65.5527570991,64.9744502260,65.0594940186,4583000
2022-04-21,64.8724007394,65.6888329144,64.7193193010,65.0254821777,4898800
2022-04-22,65.0595099278,65.3061415283,64.4812029133,64.5577468872,4861700
2022-04-25,64.7533460822,64.9064275393,62.8823562620,63.7583198547,7424100
2022-04-26,63.5712147457,64.1410153809,62.6952512195,62.7122573853,6880500
2022-04-27,62.8483224624,63.3755978649,61.9553464269,62.4911346436,6407600
2022-04-28,63.4776659159,64.7533424922,62.8483339550,64.2770919800,5702100
2022-04-29,64.0304547084,64.0984923436,62.3125401047,62.4145965576,8189500
2022-05-02,62.9674001701,63.1630002894,61.3430354560,62.2615242004,6371900
2022-05-03,62.2360187393,63.3841265554,61.9638746163,62.1849937439,4747600
2022-05-04,62.5506831150,63.5967343698,62.2615263572,63.4181404114,5712500
2022-05-05,63.1459856517,63.9028865094,62.4486161033,62.9843978882,4969700
2022-05-06,62.8228131558,63.6732640942,62.5251501366,63.5031700134,5242400
2022-05-09,63.1885176746,63.7838308336,62.3380665968,63.1289863586,6063500
2022-05-10,63.1884994587,64.0984815900,61.7002105016,62.2529983521,5314100
2022-05-11,62.4316135617,63.7753212651,62.2530131346,62.9163703918,5758900
2022-05-12,62.9163866837,63.1970306666,61.7002411298,63.0014305115,6631400
2022-05-13,63.4305744269,63.5421549450,62.3748258766,63.2159919739,5018100
2022-05-16,63.4391509661,64.0399791338,63.1644791769,63.7309799194,4537900
2022-05-17,63.9455863156,64.0400031414,62.5722595971,63.6451721191,4527900
2022-05-18,64.0314118904,64.1859115408,63.2160010710,63.3619155884,5498700
2022-05-19,63.2675044475,63.3876701254,62.2460896369,62.9413414001,5814900
2022-05-20,62.8984074405,63.3189872138,62.1774135432,63.0099945068,5758200
2022-05-23,63.6108381326,64.1172496997,62.9842543384,63.6451721191,3927300
2022-05-24,63.8769125485,65.2073265746,63.5335792629,64.9669952393,7298300
2022-05-25,65.0614120565,65.3103219763,64.4949111530,64.9669952393,3859800
2022-05-26,65.4476453960,65.4905645042,64.5807304890,64.6236495972,3561800
2022-05-27,64.4691635130,65.3274934689,64.4262443958,65.2931594849,3773800
2022-05-31,64.6580031786,65.2244975971,64.3490038418,64.9412536621,8118800
2022-06-01,65.0613994600,65.1643948418,64.1687357096,64.8468170166,4902600
2022-06-02,65.3532398102,65.4390714928,63.6194162472,65.1901550293,4732900
2022-06-03,64.9584126667,65.1729951601,64.4777499770,64.5979156494,2686200
