Date,Open,High,Low,Close,Volume
2021-08-25,235.6766662598,238.9900054932,234.6666717529,237.0666656494,37936800
2021-08-26,236.1033325195,238.4666595459,232.5399932861,233.7200012207,39642900
2021-08-27,235.0000000000,238.3333282471,234.0333404541,237.3066711426,41501400
2021-08-30,238.2400054932,243.6666717529,237.5766601562,243.6366729736,55812600
2021-08-31,244.3333282471,246.7966613770,242.1466674805,245.2400054932,62566200
2021-09-01,244.6933288574,247.3300018311,243.7566680908,244.6966705322,39612900
2021-09-02,244.8333282471,246.9900054932,243.5133361816,244.1300048828,38331900
2021-09-03,244.0833282471,244.6666717529,241.3999938965,244.5233306885,45738300
2021-09-07,246.6666717529,253.3999938965,246.4199981689,250.9733276367,60119400
2021-09-08,253.8600006104,254.8166656494,246.9233398438,251.2899932861,56379000
2021-09-09,251.1366729736,254.0333404541,250.5433349609,251.6199951172,42233100
2021-09-10,253.1999969482,254.2033386230,244.8399963379,245.4233398438,45552600
2021-09-13,246.7366638184,248.2599945068,236.2833404541,247.6666717529,68857500
2021-09-14,247.5233306885,251.4900054932,245.4666595459,248.1633300781,55574700
2021-09-15,248.3333282471,252.2866668701,246.1199951172,251.9433288574,46073100
2021-09-16,250.9433288574,252.9700012207,249.2033386230,252.3300018311,41770200
2021-09-17,252.3833312988,253.6799926758,250.0000000000,253.1633300781,84612600
2021-09-20,244.8533325195,247.3333282471,239.5399932861,243.3899993896,74273100
2021-09-21,244.9299926758,248.2466735840,243.4799957275,246.4600067139,48992100
2021-09-22,247.8433380127,251.2233276367,246.3733367920,250.6466674805,45378900
2021-09-23,251.6666717529,252.7333374023,249.3066711426,251.2133331299,35842500
2021-09-24,248.6300048828,258.2666625977,248.1866607666,258.1300048828,64119000
2021-09-27,257.7066650391,266.3333435059,256.4366760254,263.7866821289,84212100
2021-09-28,262.3999938965,265.2133178711,255.3933258057,259.1866760254,76144200
2021-09-29,259.9333190918,264.5000000000,256.8933410645,260.4366760254,62828700
2021-09-30,260.3333435059,263.0433349609,258.3333435059,258.4933471680,53868000
2021-10-01,259.4666748047,260.2600097656,254.5299987793,258.4066772461,51094200
2021-10-04,265.5000000000,268.9899902344,258.7066650391,260.5100097656,91449900
2021-10-05,261.6000061035,265.7699890137,258.0666809082,260.1966552734,55297800
2021-10-06,258.7333374023,262.2200012207,257.7399902344,260.9166564941,43898400
2021-10-07,261.8200073242,268.3333435059,261.1266784668,264.5366821289,57587400
2021-10-08,265.4033203125,265.4599914551,260.3033447266,261.8299865723,50215800
2021-10-11,262.5499877930,267.0799865723,261.8333435059,263.9800109863,42600900
2021-10-12,266.9766540527,270.7733459473,265.5233459473,268.5733337402,66060000
2021-10-13,270.1566772461,271.8033447266,268.5933227539,270.3599853516,42360300
2021-10-14,271.8299865723,273.4166564941,271.1166687012,272.7733459473,36741600
2021-10-15,274.5799865723,281.0700073242,274.1166687012,281.0100097656,56773800
2021-10-18,283.9299926758,291.7533264160,283.8233337402,290.0366821289,72621600
2021-10-19,292.5100097656,292.6499938965,287.5033264160,288.0899963379,52143300
2021-10-20,288.4500122070,289.8299865723,285.7933349609,288.6000061035,42096300
2021-10-21,285.3333435059,300.0000000000,285.1666564941,298.0000000000,94444500
2021-10-22,298.5000000000,303.3333435059,296.9866638184,303.2266540527,68642400
2021-10-25,316.8433227539,348.3399963379,314.7333374023,341.6199951172,188556300
2021-10-26,341.5633239746,364.9800109863,333.8133239746,339.4766540527,187245000
2021-10-27,346.5533447266,356.9599914551,343.5933227539,345.9533386230,115579500
2021-10-28,356.1033325195,360.3333435059,351.3999938965,359.0133361816,81639600
2021-10-29,360.6199951172,371.7366638184,357.7366638184,371.3333435059,89755200
2021-11-01,381.6666564941,403.2500000000,372.8866577148,402.8633422852,168146100
2021-11-02,386.4533386230,402.8633422852,382.0000000000,390.6666564941,128213400
2021-11-03,392.4433288574,405.1300048828,384.2066650391,404.6199951172,103885500
2021-11-04,411.4700012207,414.4966735840,405.6666564941,409.9700012207,76192200
2021-11-05,409.3333435059,413.2900085449,402.6666564941,407.3633422852,64886400
2021-11-08,383.2633361816,399.0000000000,377.6666564941,387.6466674805,100337100
2021-11-09,391.2000122070,391.5000000000,337.1733398438,341.1666564941,177317400
2021-11-10,336.8033447266,359.3666687012,329.1033325195,355.9833374023,128408100
2021-11-11,367.5899963379,368.3233337402,351.5599975586,354.5033264160,67189800
2021-11-12,349.1666564941,351.5000000000,339.7333374023,344.4733276367,76719300
2021-11-15,339.2099914551,343.9933471680,326.2000122070,337.7966613770,104326800
2021-11-16,334.4366760254,352.3999938965,334.0599975586,351.5766601562,79627200
2021-11-17,354.5033264160,373.2133178711,351.8333435059,363.0033264160,94336200
2021-11-18,368.8500061035,370.6666564941,358.3399963379,365.4599914551,62696700
2021-11-19,366.2900085449,379.5733337402,364.2333374023,379.0199890137,64926900
2021-11-22,387.4433288574,400.6499938965,377.4766540527,385.6233215332,99217500
2021-11-23,389.1700134277,393.5000000000,354.2333374023,369.6766662598,108515100
