Date,Open,High,Low,Close,Volume
2021-08-25,386.4173463504,388.0386677865,384.2189363484,384.4845581055,1939000
2021-08-26,384.5120340863,385.9959880811,381.6357882451,381.8373107910,1385400
2021-08-27,382.8999396089,385.0433917644,381.1686736635,383.5869445801,1621600
2021-08-30,383.5868799312,385.2448494125,382.7899587717,383.1654968262,1284200
2021-08-31,381.9747251076,385.4005806032,379.4282280583,381.3060302734,4249100
2021-09-01,381.5532946577,384.6035835177,376.6984442072,382.2952575684,2034400
2021-09-02,383.9533056812,388.7531710182,383.1105673623,388.1211242676,3137400
2021-09-03,386.4905889849,388.3867290172,385.2814537799,387.3424682617,1604800
2021-09-07,384.9975027194,386.7928955023,382.5059640380,385.8585510254,1920300
2021-09-08,385.8128271682,387.3517115674,379.4099498953,380.5000000000,2262500
2021-09-09,380.4541522600,384.9242686396,379.1625796865,379.7304992676,3508500
2021-09-10,381.9917326156,382.3961923710,370.0694271304,371.2828063965,4215800
2021-09-13,375.0240769189,383.1407921361,373.6176688488,381.0357666016,3068200
2021-09-14,383.8577562423,383.8577562423,378.1401965944,379.2156982422,2879800
2021-09-15,379.1973482565,387.3784443175,376.4213086554,383.7934570312,3180600
2021-09-16,385.7697785678,389.1984575142,381.4402242148,383.1683654785,2262700
2021-09-17,381.4494517047,387.0750843409,381.4494517047,386.2202148438,4534200
2021-09-20,383.2418478640,385.4295715142,375.7042201908,379.3627319336,2799800
2021-09-21,381.4861945555,384.9516501554,378.9123570460,379.0318603516,2382200
2021-09-22,372.2296003441,378.7193026551,372.2296003441,375.6858825684,3629400
2021-09-23,376.6970195398,381.3391056863,374.5920221669,375.0700073242,2681600
2021-09-24,374.0681313932,374.9414033472,372.4962699285,374.1968078613,1950400
2021-09-27,374.8861028129,378.8571465400,372.2479415202,372.5328979492,2608600
2021-09-28,370.0786478225,371.3655525426,364.9493752240,366.4201354980,3115400
2021-09-29,364.9309117280,369.3891413230,363.8278347789,368.0654602051,2056300
2021-09-30,369.0583619239,370.8968055758,358.9193463058,359.1767272949,3779900
2021-10-01,359.9672219093,361.8883918884,352.1722118252,360.7301635742,3146600
2021-10-04,359.9855842538,363.2304356118,353.6797370919,355.7479858398,3074800
2021-10-05,357.8897097903,364.0209297842,357.7977820262,361.6493225098,3269400
2021-10-06,359.1858009237,362.8902624445,354.6724199949,362.4030761719,2809200
2021-10-07,364.7104106611,375.1987336242,364.6644327446,372.0090332031,2813700
2021-10-08,373.5809081804,376.0719912242,370.1154523431,375.4653015137,2012200
2021-10-11,375.0424399233,378.0023348115,371.5585819527,372.2755737305,2164200
2021-10-12,372.3858404996,375.3917130172,369.8120312987,370.6669006348,2415700
2021-10-13,370.7588755953,372.5697434590,365.9513360251,370.9519042969,3021800
2021-10-14,391.2758831795,398.4825774069,384.0507865659,386.4039916992,6038800
2021-10-15,387.9575389334,395.7157729589,387.4519781781,393.4912719727,3312000
2021-10-18,393.4267665798,393.4267665798,389.6028021178,390.3197937012,2232800
2021-10-19,392.3513498082,393.2613982832,389.1984263996,390.0992736816,1616800
2021-10-20,392.5076828419,400.3486431593,392.3606039973,399.9441833496,2764000
2021-10-21,400.3210231462,406.7555746089,399.9349377153,406.5533447266,2465100
2021-10-22,405.2296332866,412.9970667690,404.8803246018,412.8775634766,2736200
2021-10-25,413.6497507483,416.0765094179,410.3773238533,413.1809387207,3553500
2021-10-26,414.1002156702,420.7369981236,411.4344780866,417.9150085449,3103900
2021-10-27,417.9148720730,423.2463454991,416.8485717773,416.8485717773,3520400
2021-10-28,416.4073353552,420.9115150499,415.9660989408,418.6502380371,1672600
2021-10-29,417.7035661920,424.1197442196,416.4626111970,423.2740478516,2497800
2021-11-01,424.5149535682,428.1366891513,414.7344216450,417.4277343750,2203100
2021-11-02,419.4040798720,419.5695330368,413.9990520705,415.5249633789,2600000
2021-11-03,414.0358672760,420.5623191692,410.9288933154,420.3876647949,2438200
2021-11-04,420.6357902027,421.4722851861,415.6352226872,419.8636474609,2517300
2021-11-05,420.8471431536,424.2390725406,417.8596734479,418.9903259277,2905000
2021-11-08,419.9464667535,426.6935511070,417.6116356279,425.2503662109,2279900
2021-11-09,425.2503430321,426.9509088063,423.1085687907,426.8406066895,2657800
2021-11-10,427.7965455614,428.3572572613,419.7441555254,422.7500000000,2818200
2021-11-11,422.8419651347,423.6233091591,418.6503165941,420.4428100586,2246800
2021-11-12,423.4578267913,423.7611575763,420.1577965614,421.9135131836,2609500
2021-11-15,421.0035703130,421.1965990299,414.1094070437,414.3851623535,2849600
2021-11-16,416.3981873707,421.3252297785,413.0706096370,413.3004150391,3383800
2021-11-17,414.0082823460,417.2898825539,412.4823709304,412.6846008301,2281500
2021-11-18,412.4822911417,416.2327026763,410.9931286850,413.1625061035,2073800
2021-11-19,411.9308269961,413.1442063788,403.9979391965,404.4575500488,3536100
2021-11-22,407.0497787407,407.9046482287,402.0584114116,402.1962890625,2598700
2021-11-23,400.7897965092,411.3700174613,400.7805953170,411.0115356445,2857000
2021-11-24,410.5612244712,414.5506435833,409.6420027020,413.7968750000,2248800
2021-11-26,408.9801574020,411.9768012610,402.8121592007,404.3748474121,2480600
2021-11-29,407.7299566543,416.4809367455,404.9630904851,415.4881896973,4079700
2021-11-30,410.9472562170,414.8907252151,405.6065803158,408.3366699219,7435400
2021-12-01,416.3063226932,419.0915632788,408.2631329435,408.4469604492,4325500
2021-12-02,407.3530494146,411.7101789061,403.7405152327,409.9912109375,4738700
2021-12-03,412.9423685304,419.0935872600,410.5446194563,414.3718261719,3038300
2021-12-06,416.9816785276,425.8626597384,416.4006755483,424.3225402832,4721500
2021-12-07,426.7572160842,429.5238755077,424.4332323002,428.5832214355,3105200
2021-12-08,429.8374593619,433.6001322230,426.5174621739,432.3919982910,3228300
2021-12-09,432.0876253634,437.5748442226,431.0086158550,436.5050659180,2977400
2021-12-10,435.2877031642,441.2636970174,434.3747146572,441.0331420898,2572300
2021-12-13,439.9172245879,442.9052355091,437.1413624702,440.9501342773,2724800
2021-12-14,442.4349626168,445.4690737322,440.0648509036,442.1675109863,3018000
2021-12-15,443.2187853281,456.8676253805,442.7945721542,455.9269714355,4188600
2021-12-16,455.5858133244,458.3063448535,451.9891335820,454.5252380371,4080800
2021-12-17,453.1972205599,454.7742083778,448.5492253588,449.2316589355,5707200
2021-12-20,444.5098356462,447.2857255761,438.2940847098,446.1052856445,3145600
2021-12-21,449.1394732535,450.9654785747,444.6943952426,449.3146972656,2536000
2021-12-22,449.2593076890,456.9137478547,448.1065330987,455.6964111328,1687500
2021-12-23,456.4987951415,459.4037818455,454.4791315539,456.8492431641,1706500
2021-12-27,459.8924852956,461.3864766158,458.0111774856,460.6487121582,1349400
2021-12-28,462.9542782436,466.0160543283,461.4787211303,463.8211669922,1495500
2021-12-29,465.5180643466,467.7682826917,462.9542946771,466.2558288574,1573900
2021-12-30,468.4230509703,469.6219534808,464.4759517337,465.1952819824,1309800
2021-12-31,464.9279051829,467.4455472340,462.9912379671,463.0834655762,1695400
2022-01-03,461.1099253155,463.7843572536,454.7004860961,463.2125854492,3033600
2022-01-04,464.0610020028,464.5682116214,452.6992476211,452.7176818848,3908100
2022-01-05,456.2866399089,458.3432000126,451.6017761230,451.6017761230,3921100
2022-01-06,442.6654318847,446.4834347437,427.0983596937,433.1204528809,6555200
2022-01-07,431.3129358957,431.5711562873,420.1171751728,422.9299621582,5494200
2022-01-10,420.5321462324,429.6252181659,419.0934858783,428.8321228027,5831800
2022-01-11,430.8611032585,433.8583176185,424.8390090701,432.5210876465,3332800
2022-01-12,432.4933579530,438.3494584618,430.0679157281,436.8739013672,3502300
2022-01-13,438.8751496150,439.4837898546,429.7359489467,431.0731506348,3005300
2022-01-14,433.3418739887,436.3667537976,428.9059708721,432.2351989746,3665400
2022-01-18,428.9889943703,429.4869727959,422.6994486146,425.1340942383,3938800
2022-01-19,431.5988797729,438.5062972828,425.6136820915,426.5451049805,4030900
2022-01-20,428.2603996549,434.9464926496,426.0655122102,426.9877319336,3228600
2022-01-21,427.4488082316,434.1717973676,425.2078212342,425.3000488281,4273200
2022-01-24,422.4411476117,428.0390274533,413.2742823477,426.3144531250,4780700
2022-01-25,418.7523460835,423.7507615762,412.4812346359,421.3068847656,3428900
2022-01-26,422.7916862854,427.7993331363,418.1805872012,422.7732238770,4435900
2022-01-27,422.4504539267,432.2259899058,421.4637000826,425.6966857910,3508100
2022-01-28,425.5122058159,430.0126428977,419.6837699839,429.8097534180,3364400
2022-01-31,428.8322049207,436.3759560935,428.2788674146,435.8134155273,3500500
2022-02-01,438.0544149894,438.0544149894,426.7572221818,431.9769897461,3148600
2022-02-02,432.5763887170,444.4914801335,432.5763887170,442.4625854492,3026800
2022-02-03,459.8648618336,461.2758568919,445.9578007158,450.7533264160,4370900
2022-02-04,444.2793637966,451.5464599171,442.8407032406,445.5889282227,3066400
2022-02-07,447.1936063486,449.3608285062,443.8643782376,446.0777282715,2937200
2022-02-08,443.9104724974,457.1166657806,443.9104724974,455.0324401855,3534700
2022-02-09,458.3431882052,461.9675048504,457.6884201024,459.3576354980,2818100
2022-02-10,453.9534358016,455.7794410186,447.3411360266,448.8627929688,2626100
2022-02-11,446.9814149243,452.2841779322,439.3823339852,440.9408874512,2493800
