Date,Open,High,Low,Close,Volume
2021-08-25,197.9214888562,198.3234387851,196.9121367172,197.6624450684,1744000
2021-08-26,197.6892364567,198.4573994871,196.0992780055,197.3855285645,3064500
2021-08-27,197.6892488385,198.8236387077,197.5463290720,197.7874908447,1944800
2021-08-30,197.6798359109,198.0209014969,196.3334876251,196.6386566162,3485300
2021-08-31,197.0963871790,197.3297629533,193.4612444909,194.6280822754,5434800
2021-09-01,193.9100296192,196.1718983393,192.7970572504,194.7088623047,4309800
2021-09-02,195.0678956598,196.6565902985,194.6460388140,195.2474060059,2659400
2021-09-03,194.7716754535,195.0858287954,192.4739104137,192.8957672119,4355200
2021-09-07,192.7072854173,194.5472971956,190.9121546473,191.1814270020,3840100
2021-09-08,191.4596488889,193.8112655546,190.5261870180,193.2009277344,3319700
2021-09-09,192.7521853557,193.1471163552,187.6360648980,188.5336303711,3887600
2021-09-10,189.3863122137,190.2210415182,186.3345951255,186.4781951904,2981900
2021-09-13,187.6360585307,188.0848412521,184.1983812418,185.5716552734,3209600
2021-09-14,186.2447842113,186.2447842113,181.8556908083,182.5737457275,4362800
2021-09-15,182.5917028908,183.6867336553,181.8557064646,183.3277130127,5225600
2021-09-16,184.0009078469,184.8176956517,182.3045097810,182.6007080078,3481900
2021-09-17,182.0890596387,183.6149315350,180.2670032593,180.8324737549,7702800
2021-09-20,178.4898519807,179.4412690920,175.6355869511,177.6012573242,4370600
2021-09-21,178.7232211768,179.1361072941,176.0754059399,176.4703369141,3730300
2021-09-22,178.0769767775,179.6656714319,177.4397129885,177.7807922363,2907200
2021-09-23,178.8847631712,182.4839950161,178.7770460244,181.0568695068,3553500
2021-09-24,180.5542711186,183.8842313037,180.5004193823,182.9238433838,2908500
2021-09-27,182.7353353386,185.3382831996,182.6994387490,183.0674438477,2449600
2021-09-28,180.9043012916,181.9903477090,179.2527843139,180.5183410645,3792800
2021-09-29,180.6799153007,181.8736789100,180.3478067941,181.0209808350,3448800
2021-09-30,181.5325748804,181.5864266050,175.8599558306,175.9317626953,4098900
