Date,Open,High,Low,Close,Volume
2021-08-25,152.4542538722,153.1252721487,151.7358839127,152.2568969727,1593900
2021-08-26,152.6673726077,152.7384181865,151.6253346475,151.8542633057,1969700
2021-08-27,151.8226932059,153.0541981026,151.6805900009,152.5963287354,1947800
2021-08-30,153.0541971982,154.4199033080,152.2489778299,153.1568145752,1507700
2021-08-31,153.7015256537,154.8146212748,152.2805538017,154.4356994629,2782000
2021-09-01,154.5067741041,155.7461691986,152.6989781163,155.0435791016,2381100
2021-09-02,155.4461531483,157.2934103844,155.1698487384,156.4566192627,2021200
2021-09-03,155.6829966337,156.7092427079,155.4619458601,155.7856140137,1491800
2021-09-07,156.0303480510,156.2671787215,154.1594086407,154.3804473877,2266200
2021-09-08,154.3646410288,154.3646410288,152.7384223801,153.5989074707,2455300
2021-09-09,152.5411024660,153.4331595712,148.4518729934,149.2097167969,3636700
2021-09-10,150.3701657964,152.9042336912,149.9991338609,152.5647735596,3094100
2021-09-13,153.7094402194,154.1988814351,152.0437476433,153.4568176270,2136200
2021-09-14,154.1278463237,154.6330794973,150.6385778369,150.7885589600,1895300
2021-09-15,151.2543051766,153.0147250282,150.6622345854,152.6358032227,1769200
2021-09-16,152.6437222315,153.3147405142,151.1043408104,152.3358459473,1657200
2021-09-17,152.0121584612,154.9251478825,149.7307134532,150.0149078369,4504200
2021-09-20,148.6886595956,149.6596519508,147.4887265426,149.5096588135,2439500
2021-09-21,150.0701878264,150.5596290716,148.4202750290,149.7780914307,2496400
2021-09-22,145.1362468709,147.8676592034,143.7705286590,146.2809143066,4229800
2021-09-23,146.8335261070,148.2860699259,146.5651236277,147.4571685791,2527500
2021-09-24,147.2282133153,148.9649512241,146.6756165324,148.4281463623,2312900
2021-09-27,147.9150081072,148.8860124823,147.3466194155,147.4966125488,1847600
2021-09-28,147.3703007836,148.2623575974,146.9124434933,147.4334564209,3093900
2021-09-29,147.6387458038,148.3729076535,145.6020212513,145.8388519287,2467400
2021-09-30,146.2414526903,147.8124178411,143.6758131694,143.7547607422,2902800
2021-10-01,144.3783869798,144.3941789017,141.1733134350,143.2731933594,3014500
2021-10-04,142.4916503840,143.4389608860,139.8312838132,140.8496398926,3512500
