Date,Open,High,Low,Close,Volume
2021-08-25,43.0447437080,43.9300737091,42.9119462342,43.6379165649,21357400
2021-08-26,43.8503920905,44.1514044137,43.2837814532,43.4254341125,21627600
2021-08-27,43.5759484126,44.1337039416,43.4874133767,44.0982933044,16873300
2021-08-30,44.0540198472,44.0982890495,42.8057046671,42.8588256836,16054100
2021-08-31,42.8588309081,43.3723239980,40.0257738530,40.4595870972,73514300
2021-09-01,40.4595909164,40.6986304763,38.3082382548,38.4675979614,84960500
2021-09-02,38.6712129126,39.7336095397,38.5472672585,39.4591560364,37629000
2021-09-03,39.3883349650,39.3971867794,38.7951620820,39.1050262451,21687500
2021-09-07,39.2378252026,39.8044358604,39.1758523730,39.2289733887,19733500
2021-09-08,39.0607566975,39.4325970350,38.6269469105,38.7951583862,21252400
2021-09-09,38.8217302593,39.5919700114,38.7420504015,39.2732505798,19776900
2021-09-10,39.8398545751,40.0611871005,39.1227359769,39.2466850281,23367400
2021-09-13,39.4503058339,40.5569683288,39.4503058339,40.5126991272,28027200
2021-09-14,40.7428999430,41.5574021806,40.5127121787,40.7694587708,36053200
2021-09-15,40.6100967692,41.5131340105,40.5923897593,41.2918014526,31535600
2021-09-16,41.5219829593,41.8495541500,40.7340363349,40.9730758667,24102400
2021-09-17,40.4949982221,41.3360590730,40.4949982221,41.1412887573,34912100
2021-09-20,39.8664089895,40.6100863277,39.6981975046,40.5569686890,30603100
2021-09-21,40.7074743732,41.0439007302,40.4861418657,40.5923805237,23049100
2021-09-22,41.1589906464,42.2213838790,41.1412836422,41.6813354492,29430700
2021-09-23,42.0177704039,42.6463540342,41.7521720198,42.3187828064,21852800
2021-09-24,42.3010726324,43.0004842473,42.2568068013,42.4250183105,20384700
2021-09-27,42.8322707586,43.3280534482,40.8668368754,42.1063003540,48927500
2021-09-28,41.6193639808,41.6370709870,39.9018249072,40.6543540955,49349100
2021-09-29,41.1235762798,41.7433079116,40.6632043069,41.6370658875,21730200
2021-09-30,41.7344519051,41.7433070956,40.8314149811,41.0881614685,22947500
2021-10-01,41.2121096212,41.8849622928,41.1589919842,41.6282157898,18021700
2021-10-04,41.6282157898,42.2213852514,41.3183482725,41.6282157898,22315200
2021-10-05,42.0531828941,42.8942472274,41.9203820182,42.4604339600,20250500
2021-10-06,42.1240055998,42.5755224414,41.6636335663,42.3807487488,17425700
2021-10-07,42.7260245298,43.0181850524,42.0885892231,42.2833595276,19272300
2021-10-08,42.3807481290,42.7968543291,42.1948296309,42.4958419800,14295400
2021-10-11,42.6729115155,42.9030958556,41.8052884223,41.8584060669,15387900
2021-10-12,41.8672622881,42.0797396262,41.1855576888,41.3006515503,18995700
2021-10-13,41.2298309222,41.2298309222,40.0346363936,40.7694587708,24150300
2021-10-14,41.3272086755,41.5131271830,39.6893493677,40.1143074036,53257700
2021-10-15,40.4772900185,43.1509871121,40.4684348269,42.8322677612,60096600
2021-10-18,42.6640455459,44.0097473639,42.6197797275,43.7618560791,33842700
2021-10-19,43.9477808343,44.5763643262,43.6290614927,44.5675125122,26500300
2021-10-20,44.4347123537,44.6117790326,44.0097543507,44.4081535339,24227900
2021-10-21,44.2222322687,44.7976947176,44.0540174145,44.5586585999,20448300
2021-10-22,44.7445799774,45.2580696323,44.7003141519,44.8508186340,21517200
2021-10-25,45.0544309812,45.2580564209,44.7268599154,44.8153915405,19330300
2021-10-26,44.9127885422,45.2403596823,44.5852174021,44.8242568970,18196300
2021-10-27,44.4966827959,45.1429766458,44.2222326667,44.3107643127,21988300
2021-10-28,44.6029275195,45.5059645486,44.5763653223,45.4705505371,26785500
2021-10-29,45.3731597497,45.7184378884,45.1695342673,45.2934799194,19788500
2021-11-01,45.6476247118,46.0371687701,45.3908781523,45.7804222107,18699000
2021-11-02,45.6299077431,45.7892674088,45.3466024211,45.4174270630,21672500
2021-11-03,45.1872429957,46.5417967845,45.1695359908,46.0371589661,24225700
2021-11-04,45.8149621821,45.9482757483,44.3574158945,44.9884262085,32005700
2021-11-05,45.3261647930,45.8683018163,44.7929171515,44.8284645081,23443200
2021-11-08,44.9262255124,45.6549988411,44.9262255124,45.2106246948,19509500
2021-11-09,44.8817861699,44.9351122849,43.7353001253,44.3396492004,28324800
2021-11-10,44.2063318651,45.1217413207,44.1530057588,44.7573547363,19827800
2021-11-11,44.8106877591,45.2461759188,44.6329408109,44.9617767334,16069700
2021-11-12,45.0417666288,45.3261658294,44.7662534199,45.2906150818,17124700
2021-11-15,45.4950296794,45.9482932650,45.3083933279,45.3972702026,20110200
2021-11-16,45.4239219688,45.4861340728,44.5884964740,44.7662467957,19244900
2021-11-17,44.8106878600,45.0506503090,44.0197024119,44.2952156067,17802700
2021-11-18,44.1085826074,44.5973935335,43.7886326514,44.3485450745,19198200
2021-11-19,43.5486697396,43.7619708382,42.4555096611,43.3886947632,30548400
2021-11-22,44.9973313493,45.4239301641,44.1974564526,44.7395935059,28549400
2021-11-23,45.0684325496,45.9838457476,45.0595465569,45.6816711426,28024400
2021-11-24,45.7794277200,45.9838428316,45.4861425165,45.6016807556,18901900
2021-11-26,43.6375357846,43.6375357846,42.3844009433,43.0420761108,29919300
2021-11-29,44.1441208320,44.2329976849,42.9354261453,43.6908607483,27677000
2021-11-30,42.7576706653,43.1131678631,42.0555588686,42.4643821716,40671700
2021-12-01,43.2731566200,43.9486072752,41.9311480822,41.9578094482,29365100
2021-12-02,42.4199542965,43.9041656625,42.2244285932,43.4686775208,29184900
2021-12-03,43.7797451165,43.7797451165,42.1000111667,42.4377365112,29221900
