seed,split,strategy,final_value,CR,AR,sharpe,sortino,MDD,turnover,win_rate,HHI,entropy,max_weight,mu_min,n_days
0,train,DDPG,1.345911,0.345911,0.107068,0.539842,0.777321,0.159597,0.011698,0.531973,0.111112,2.197219,0.111434,0.999111,735
0,validate,DDPG,1.090423,0.090423,0.091179,0.377764,0.496767,0.155463,0.016659,0.538153,0.111112,2.197219,0.111497,0.999111,249
0,test,DDPG,1.275311,0.275311,0.275311,2.231638,3.293191,0.050803,0.016964,0.577689,0.111112,2.197220,0.111416,0.999111,251
1,train,DDPG,1.226561,0.226561,0.072424,0.288573,0.416726,0.261307,0.018108,0.515646,0.326459,1.142232,0.409737,0.999329,735
1,validate,DDPG,1.222657,0.222657,0.224625,0.983068,1.343443,0.181859,0.022298,0.546185,0.323944,1.150724,0.357374,0.999320,249
1,test,DDPG,1.132935,0.132935,0.132935,0.671359,1.066761,0.120637,0.021518,0.517928,0.328782,1.130511,0.388969,0.999308,251
2,train,DDPG,1.518604,0.518604,0.153785,0.733238,1.034832,0.173418,0.018221,0.541497,0.181823,1.733125,0.219077,0.999000,735
2,validate,DDPG,1.181770,0.181770,0.183350,0.844869,1.073281,0.161797,0.024618,0.582329,0.180748,1.737475,0.208519,0.999000,249
2,test,DDPG,1.262243,0.262243,0.262243,1.762096,2.717492,0.077082,0.023582,0.533865,0.182669,1.728561,0.199466,0.999000,251
3,train,DDPG,1.336475,0.336475,0.104404,0.423191,0.592618,0.254048,0.012869,0.549660,0.329726,1.160275,0.404644,0.999002,735
3,validate,DDPG,1.219860,0.219860,0.221801,0.903235,1.268300,0.190083,0.018469,0.570281,0.329722,1.159976,0.404756,0.999002,249
3,test,DDPG,1.161624,0.161624,0.161624,0.785942,1.125372,0.124763,0.019104,0.561753,0.329607,1.160397,0.395820,0.999002,251
4,train,DDPG,1.384331,0.384331,0.117788,0.550839,0.768732,0.219848,0.013887,0.540136,0.249821,1.394769,0.281186,0.999000,735
4,validate,DDPG,1.287872,0.287872,0.290482,1.307029,1.776116,0.179446,0.019116,0.538153,0.249800,1.394754,0.273204,0.999000,249
4,test,DDPG,1.289046,0.289046,0.289046,1.686368,2.509787,0.064036,0.019942,0.573705,0.249872,1.395309,0.281691,0.999000,251
5,train,DDPG,1.397793,0.397793,0.121498,0.504374,0.729871,0.259173,0.018945,0.551020,0.223211,1.534756,0.243127,0.999000,735
5,validate,DDPG,1.171484,0.171484,0.172968,0.677757,0.900058,0.205276,0.024454,0.570281,0.224226,1.531069,0.243180,0.999000,249
5,test,DDPG,1.225368,0.225368,0.225368,1.271858,1.772081,0.092280,0.025408,0.569721,0.224205,1.531091,0.242918,0.999000,251
6,train,DDPG,1.402244,0.402244,0.122719,0.610326,0.865496,0.152484,0.299453,0.545578,0.237224,1.481942,0.993572,0.998515,735
6,validate,DDPG,1.153629,0.153629,0.154949,0.726527,0.971239,0.117118,0.277188,0.542169,0.229082,1.513715,0.976507,0.998188,249
6,test,DDPG,1.064582,0.064582,0.064582,0.284223,0.443314,0.092968,0.366218,0.525896,0.242539,1.468681,0.999594,0.998512,251
7,train,DDPG,1.883920,0.883920,0.242164,1.161350,1.748298,0.136833,0.010684,0.555102,0.333273,1.099612,0.333304,0.999000,735
7,validate,DDPG,1.213428,0.213428,0.215308,0.926471,1.174795,0.171817,0.015996,0.582329,0.333273,1.099612,0.333304,0.999000,249
7,test,DDPG,1.298209,0.298209,0.298209,1.671719,2.581069,0.081742,0.017416,0.549801,0.333273,1.099612,0.333303,0.999000,251
8,train,DDPG,1.644969,0.644969,0.185798,0.865520,1.271409,0.243454,0.010361,0.537415,0.333273,1.099611,0.333303,0.999000,735
8,validate,DDPG,1.228771,0.228771,0.230798,0.862127,1.125723,0.240806,0.015882,0.562249,0.333273,1.099611,0.333304,0.999000,249
8,test,DDPG,1.254769,0.254769,0.254769,1.340074,1.961372,0.100867,0.016873,0.545817,0.333273,1.099611,0.333303,0.999000,251
9,train,DDPG,1.457954,0.457954,0.137796,0.566959,0.789062,0.305661,0.011941,0.540136,0.333314,1.099556,0.337027,0.999000,735
9,validate,DDPG,1.340458,0.340458,0.343604,1.231664,1.637322,0.235561,0.016383,0.534137,0.333311,1.099560,0.336379,0.999000,249
9,test,DDPG,1.191094,0.191094,0.191094,0.925607,1.368690,0.099366,0.018365,0.569721,0.333313,1.099557,0.336519,0.999000,251
