strategy,kind,algo,seed,fAPV,ann_return,sharpe,mdd,turnover
PPO seed0,agent,ppo,0,3.157891,0.419026,1.330029,0.397856,0.015342
PPO seed1,agent,ppo,1,3.465766,0.459778,1.325354,0.456687,0.014919
PPO seed2,agent,ppo,2,3.713643,0.490793,1.321085,0.466462,0.014701
PPO seed3,agent,ppo,3,3.696453,0.488690,1.324336,0.466310,0.014640
PPO seed4,agent,ppo,4,3.758982,0.496309,1.331639,0.472495,0.014530
A2C (PG) seed0,agent,a2c,0,6.460611,0.764432,1.324761,0.649269,0.004083
A2C (PG) seed1,agent,a2c,1,2.035792,0.241545,0.891502,0.406422,0.008347
A2C (PG) seed2,agent,a2c,2,6.433975,0.762215,1.323036,0.648228,0.004189
A2C (PG) seed3,agent,a2c,3,6.557505,0.772444,1.327710,0.654435,0.003751
A2C (PG) seed4,agent,a2c,4,6.730213,0.786524,1.326695,0.661036,0.002708
DDPG seed0,agent,ddpg,0,1.307483,0.085018,0.792777,0.083899,0.008257
DDPG seed1,agent,ddpg,1,2.348191,0.296677,1.133215,0.286904,0.013634
DDPG seed2,agent,ddpg,2,1.776141,0.191044,1.059342,0.263328,0.012989
DDPG seed3,agent,ddpg,3,2.518804,0.324655,1.126682,0.425356,0.015000
DDPG seed4,agent,ddpg,4,1.972337,0.229637,1.234040,0.232046,0.013253
Buy & Hold,benchmark,,,2.167177,0.265403,1.257964,0.225052,0.002415
UCRP,benchmark,,,1.931456,0.221823,1.162615,0.237794,0.013362
Best stock (hindsight),benchmark,,,6.784725,0.790915,1.326966,0.663351,0.002415
All-cash,benchmark,,,1.000000,0.000000,nan,0.000000,0.000000
