split,strategy,final_value,CR,AR,sharpe,sortino,MDD,turnover,win_rate,HHI,entropy,max_weight,mu_min,n_days
train,UBAH,1.339556,0.339556,0.105275,0.537936,0.778578,0.148296,0.002419,0.542857,0.121030,2.157822,0.232866,0.999111,735
train,UCRP,1.345690,0.345690,0.107005,0.539673,0.777070,0.159502,0.011694,0.531973,0.111111,2.197225,0.111111,0.999111,735
train,BestStock,2.351791,1.351791,0.340182,1.069047,1.605853,0.205019,0.002722,0.542857,0.999130,0.004699,0.999637,0.999000,735
train,Markowitz,1.688292,0.688292,0.196399,0.767945,1.063057,0.154530,0.026337,0.542857,0.535815,0.798662,0.999637,0.998171,735
validate,UBAH,1.085664,0.085664,0.086378,0.348980,0.448246,0.162197,0.007140,0.550201,0.112961,2.188993,0.148031,0.999111,249
validate,UCRP,1.090656,0.090656,0.091413,0.379395,0.498959,0.155302,0.016664,0.538153,0.111111,2.197225,0.111111,0.999111,249
validate,BestStock,1.284621,0.284621,0.287198,0.999600,1.362626,0.219251,0.008033,0.550201,0.999216,0.004280,0.999637,0.999000,249
validate,Markowitz,1.178516,0.178516,0.180066,0.716130,0.944582,0.221312,0.022328,0.566265,0.368137,1.196331,0.793847,0.999000,249
test,UBAH,1.259574,0.259574,0.259574,2.085217,3.126736,0.050995,0.007083,0.589641,0.112222,2.192186,0.147909,0.999111,251
test,UCRP,1.275495,0.275495,0.275495,2.233551,3.296387,0.050777,0.016966,0.577689,0.111111,2.197225,0.111111,0.999111,251
test,BestStock,1.566937,0.566937,0.566937,2.310509,3.766405,0.109536,0.007969,0.541833,0.999214,0.004289,0.999637,0.999000,251
test,Markowitz,1.371474,0.371474,0.371474,2.240105,3.630113,0.088766,0.025954,0.589641,0.367094,1.194956,0.670902,0.999000,251
