Date,CASH,AAPL,JPM,NEE,XOM,JNJ,WMT,AMZN,UPS
2021-09-22,0.00004538,0.00004538,0.00004538,0.00004538,0.99963693,0.00004538,0.00004538,0.00004538,0.00004538
2021-09-23,0.00004538,0.00004538,0.00004538,0.00004538,0.99963693,0.00004538,0.00004538,0.00004538,0.00004538
2021-09-24,0.00004538,0.00004538,0.00004550,0.00004538,0.99963682,0.00004538,0.00004538,0.00004538,0.00004538
2021-09-27,0.00004538,0.00004538,0.00004538,0.00004538,0.99963693,0.00004538,0.00004538,0.00004538,0.00004538
2021-09-28,0.00004538,0.00004538,0.00004538,0.00004538,0.99963693,0.00004538,0.00004538,0.00004538,0.00004538
2021-09-29,0.00004541,0.00004571,0.00004538,0.00004605,0.99963553,0.00004575,0.00004539,0.00004538,0.00004538
2021-09-30,0.00004623,0.00004610,0.00004557,0.00004698,0.99963188,0.00004586,0.00004586,0.00004598,0.00004554
2021-10-01,0.00004538,0.00004538,0.00004538,0.00004575,0.99963656,0.00004538,0.00004538,0.00004538,0.00004538
2021-10-04,0.00004538,0.00004538,0.00004538,0.00004538,0.99963693,0.00004538,0.00004538,0.00004538,0.00004538
2021-10-05,0.00004546,0.00004610,0.00004620,0.00004553,0.99963373,0.00004556,0.00004576,0.00004590,0.00004578
2021-10-06,0.00004631,0.00004726,0.00004716,0.00004737,0.99962420,0.00004651,0.00004695,0.00004735,0.00004690
2021-10-07,0.00004618,0.00004755,0.00004733,0.00004708,0.99962289,0.00004679,0.00004737,0.00004781,0.00004700
2021-10-08,0.00004538,0.00004626,0.00004621,0.00004553,0.99963196,0.00004553,0.00004635,0.00004644,0.00004633
2021-10-11,0.00004584,0.00004670,0.00004569,0.00004538,0.99963116,0.00004580,0.00004678,0.00004631,0.00004635
2021-10-12,0.00004608,0.00004652,0.00004558,0.00004623,0.99963003,0.00004538,0.00004697,0.00004656,0.00004665
2021-10-13,0.00004621,0.00004645,0.00004538,0.00004713,0.99962758,0.00004595,0.00004676,0.00004722,0.00004732
2021-10-14,0.00004551,0.00004668,0.00004539,0.00004716,0.99962798,0.00004551,0.00004656,0.00004674,0.00004847
2021-10-15,0.00004538,0.00004659,0.00004582,0.00004684,0.99962718,0.00004542,0.00004634,0.00004783,0.00004860
2021-10-18,0.00004540,0.00004716,0.00004583,0.00004647,0.99962611,0.00004538,0.00004674,0.00004838,0.00004853
2021-10-19,0.00004538,0.00004716,0.00004570,0.00004637,0.99962707,0.00004576,0.00004702,0.00004763,0.00004791
2021-10-20,0.00004538,0.00004706,0.00004606,0.00004718,0.99962667,0.00004548,0.00004719,0.00004697,0.00004801
2021-10-21,0.00004622,0.00004800,0.00004654,0.00004799,0.99961864,0.00004622,0.00004833,0.00004812,0.00004994
2021-10-22,0.00004591,0.00004742,0.00004685,0.00004801,0.99962023,0.00004599,0.00004850,0.00004640,0.00005069
2021-10-25,0.00004538,0.00004650,0.00004573,0.00004702,0.99962674,0.00004538,0.00004812,0.00004538,0.00004974
2021-10-26,0.00004538,0.00004566,0.00004538,0.00004660,0.99962759,0.00004538,0.00004662,0.00004538,0.00005200
2021-10-27,0.00004659,0.00004673,0.00004562,0.00004758,0.99962121,0.00004603,0.00004747,0.00004682,0.00005195
2021-10-28,0.00004646,0.00004776,0.00004618,0.00004824,0.99961843,0.00004565,0.00004764,0.00004743,0.00005222
2021-10-29,0.00004635,0.00004678,0.00004594,0.00004751,0.99962178,0.00004554,0.00004783,0.00004630,0.00005198
2021-11-01,0.00004553,0.00004569,0.00004538,0.00004681,0.99962827,0.00004538,0.00004710,0.00004538,0.00005045
2021-11-02,0.00004610,0.00004659,0.00004613,0.00004730,0.99962301,0.00004667,0.00004767,0.00004588,0.00005065
2021-11-03,0.00004674,0.00004770,0.00004679,0.00004786,0.99961550,0.00004717,0.00004848,0.00004751,0.00005224
2021-11-04,0.00004639,0.00004718,0.00004583,0.00004724,0.99961838,0.00004669,0.00004847,0.00004846,0.00005136
2021-11-05,0.00004596,0.00004691,0.00004538,0.00004722,0.99962208,0.00004592,0.00004768,0.00004858,0.00005027
2021-11-08,0.00004547,0.00004615,0.00004538,0.00004620,0.99962689,0.00004538,0.00004687,0.00004765,0.00005000
2021-11-09,0.00004538,0.00004582,0.00004538,0.00004595,0.99962746,0.00004538,0.00004658,0.00004838,0.00004967
