Date,CASH,AAPL,JPM,NEE,XOM,JNJ,WMT,AMZN,UPS
2021-09-22,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111
2021-09-23,0.10999152,0.11073056,0.11370943,0.10914543,0.11371701,0.11061550,0.11005318,0.11116139,0.11087597
2021-09-24,0.10970156,0.11050634,0.11471837,0.10809417,0.11443056,0.10998927,0.11007056,0.11117732,0.11131185
2021-09-27,0.10974948,0.10938825,0.11754196,0.10554171,0.11787979,0.10924062,0.10941104,0.11058558,0.11066157
2021-09-28,0.11069623,0.10770587,0.11791698,0.10443825,0.12013978,0.10993990,0.10899726,0.10859731,0.11156842
2021-09-29,0.11057865,0.10828898,0.11769950,0.10578552,0.11993209,0.11063933,0.10883499,0.10799646,0.11024449
2021-09-30,0.11159726,0.10826881,0.11716609,0.10699163,0.11889424,0.10994300,0.10900852,0.10846037,0.10967008
2021-10-01,0.11097605,0.10854115,0.11896241,0.10733104,0.12247364,0.10863371,0.10658958,0.10779818,0.10869425
2021-10-04,0.11184715,0.10670147,0.11976709,0.10837836,0.12503543,0.10863354,0.10639154,0.10555105,0.10769438
2021-10-05,0.11116253,0.10754981,0.12097785,0.10787785,0.12406874,0.10821271,0.10643369,0.10593172,0.10778509
2021-10-06,0.11072647,0.10780362,0.12076048,0.10975304,0.12131578,0.10801113,0.10679217,0.10685961,0.10797770
2021-10-07,0.11008597,0.10815369,0.12082199,0.10876869,0.12095301,0.10834664,0.10742426,0.10755793,0.10788781
2021-10-08,0.10980091,0.10758001,0.12060127,0.10753514,0.12366275,0.10779146,0.10746929,0.10683080,0.10872839
2021-10-11,0.11090947,0.10859769,0.11925683,0.10539786,0.12366579,0.10841969,0.10845327,0.10652073,0.10877867
2021-10-12,0.11122136,0.10791175,0.11867360,0.10710658,0.12336891,0.10698767,0.10864134,0.10685417,0.10923462
2021-10-13,0.11115921,0.10739419,0.11547999,0.10883831,0.12295769,0.10795180,0.10779382,0.10800963,0.11041536
2021-10-14,0.10959712,0.10802657,0.11560393,0.10900832,0.12307594,0.10704316,0.10743113,0.10699697,0.11321686
2021-10-15,0.10843473,0.10768377,0.11657486,0.10813017,0.12292939,0.10669500,0.10680844,0.10936410,0.11337953
2021-10-18,0.10828878,0.10880845,0.11637599,0.10708555,0.12270508,0.10577193,0.10752229,0.11042536,0.11301657
2021-10-19,0.10709113,0.10922778,0.11648478,0.10726110,0.12317133,0.10705189,0.10859218,0.10912204,0.11199777
2021-10-20,0.10645835,0.10894730,0.11735584,0.10908403,0.12311840,0.10636088,0.10892787,0.10756103,0.11218630
2021-10-21,0.00003644,0.00003644,0.00003644,0.00003644,0.19699712,0.00003644,0.00003644,0.80274777,0.00003644
2021-10-22,0.00003726,0.00003706,0.00003776,0.00003753,0.20278742,0.00003733,0.00003765,0.79694990,0.00003808
2021-10-25,0.00003725,0.00003704,0.00003756,0.00003746,0.20667192,0.00003740,0.00003807,0.79306521,0.00003808
2021-10-26,0.00003659,0.00003655,0.00003700,0.00003731,0.20769947,0.00003711,0.00003707,0.79203891,0.00004000
2021-10-27,0.00003664,0.00003649,0.00003628,0.00003717,0.20261815,0.00003672,0.00003682,0.79712274,0.00003899
2021-10-28,0.00003628,0.00003691,0.00003635,0.00003729,0.20052420,0.00003628,0.00003657,0.79921733,0.00003878
2021-10-29,0.00003690,0.00003686,0.00003686,0.00003744,0.20443600,0.00003691,0.00003743,0.79530223,0.00003936
2021-11-01,0.00003724,0.00003699,0.00003718,0.00003790,0.21003244,0.00003728,0.00003787,0.78970385,0.00003925
2021-11-02,0.00003739,0.00003739,0.00003747,0.00003798,0.20824560,0.00003801,0.00003800,0.79148909,0.00003907
2021-11-03,0.00003686,0.00003723,0.00003696,0.00003737,0.20251768,0.00003736,0.00003758,0.79721976,0.00003919
2021-11-04,0.00003634,0.00003634,0.00003634,0.00003634,0.19936704,0.00003641,0.00003699,0.80037629,0.00003793
2021-11-05,0.00003636,0.00003636,0.00003636,0.00003636,0.19895615,0.00003636,0.00003636,0.80078866,0.00003705
2021-11-08,0.00003653,0.00003632,0.00003675,0.00003622,0.20204518,0.00003640,0.00003629,0.79769889,0.00003742
2021-11-09,0.00003632,0.00003632,0.00003632,0.00003632,0.19963676,0.00003632,0.00003632,0.80010856,0.00003673
2021-11-10,0.00003726,0.00003654,0.00003722,0.00003737,0.20072266,0.00003766,0.00003692,0.79901640,0.00003797
2021-11-11,0.00003732,0.00003660,0.00003729,0.00003751,0.20146375,0.00003745,0.00003700,0.79827473,0.00003834
2021-11-12,0.00003693,0.00003673,0.00003673,0.00003753,0.19783769,0.00003750,0.00003643,0.80190253,0.00003792
2021-11-15,0.00003670,0.00003650,0.00003643,0.00003774,0.19827862,0.00003693,0.00003639,0.80146330,0.00003739
2021-11-16,0.00003667,0.00003671,0.00003630,0.00003755,0.20010544,0.00003670,0.00003630,0.79963691,0.00003741
