Date,CASH,AAPL,JPM,NEE,XOM,JNJ,WMT,AMZN,UPS
2021-09-22,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111
2021-09-23,0.10999152,0.11073056,0.11370943,0.10914543,0.11371701,0.11061550,0.11005318,0.11116139,0.11087597
2021-09-24,0.10970156,0.11050634,0.11471837,0.10809417,0.11443056,0.10998927,0.11007056,0.11117732,0.11131185
2021-09-27,0.10974948,0.10938825,0.11754196,0.10554171,0.11787979,0.10924062,0.10941104,0.11058558,0.11066157
2021-09-28,0.11069623,0.10770587,0.11791698,0.10443825,0.12013978,0.10993990,0.10899726,0.10859731,0.11156842
2021-09-29,0.11057865,0.10828898,0.11769950,0.10578552,0.11993209,0.11063933,0.10883499,0.10799646,0.11024449
2021-09-30,0.11159726,0.10826881,0.11716609,0.10699163,0.11889424,0.10994300,0.10900852,0.10846037,0.10967008
2021-10-01,0.11097605,0.10854115,0.11896241,0.10733104,0.12247364,0.10863371,0.10658958,0.10779818,0.10869425
2021-10-04,0.11184715,0.10670147,0.11976709,0.10837836,0.12503543,0.10863354,0.10639154,0.10555105,0.10769438
2021-10-05,0.11116253,0.10754981,0.12097785,0.10787785,0.12406874,0.10821271,0.10643369,0.10593172,0.10778509
2021-10-06,0.11072647,0.10780362,0.12076048,0.10975304,0.12131578,0.10801113,0.10679217,0.10685961,0.10797770
2021-10-07,0.11008597,0.10815369,0.12082199,0.10876869,0.12095301,0.10834664,0.10742426,0.10755793,0.10788781
2021-10-08,0.10980091,0.10758001,0.12060127,0.10753514,0.12366275,0.10779146,0.10746929,0.10683080,0.10872839
2021-10-11,0.11090947,0.10859769,0.11925683,0.10539786,0.12366579,0.10841969,0.10845327,0.10652073,0.10877867
2021-10-12,0.11122136,0.10791175,0.11867360,0.10710658,0.12336891,0.10698767,0.10864134,0.10685417,0.10923462
2021-10-13,0.11115921,0.10739419,0.11547999,0.10883831,0.12295769,0.10795180,0.10779382,0.10800963,0.11041536
2021-10-14,0.10959712,0.10802657,0.11560393,0.10900832,0.12307594,0.10704316,0.10743113,0.10699697,0.11321686
2021-10-15,0.10843473,0.10768377,0.11657486,0.10813017,0.12292939,0.10669500,0.10680844,0.10936410,0.11337953
2021-10-18,0.10828878,0.10880845,0.11637599,0.10708555,0.12270508,0.10577193,0.10752229,0.11042536,0.11301657
2021-10-19,0.10709113,0.10922778,0.11648478,0.10726110,0.12317133,0.10705189,0.10859218,0.10912204,0.11199777
2021-10-20,0.10645835,0.10894730,0.11735584,0.10908403,0.12311840,0.10636088,0.10892787,0.10756103,0.11218630
2021-10-21,0.10643259,0.10908152,0.11640717,0.10891471,0.12085239,0.10608841,0.10950571,0.10816320,0.11455430
2021-10-22,0.10607848,0.10814401,0.11758046,0.10934244,0.12127649,0.10594254,0.11027881,0.10468192,0.11667486
2021-10-25,0.10579597,0.10781971,0.11669395,0.10888329,0.12331049,0.10589273,0.11126036,0.10392798,0.11641552
2021-10-26,0.10421946,0.10669895,0.11526433,0.10876234,0.12428564,0.10537645,0.10864562,0.10409675,0.12265047
2021-10-27,0.10543282,0.10760141,0.11417757,0.10943641,0.12246708,0.10531055,0.10900910,0.10582086,0.12074419
2021-10-28,0.10445874,0.10927159,0.11482798,0.11022373,0.12167619,0.10377047,0.10867544,0.10651452,0.12058134
2021-10-29,0.10500398,0.10784771,0.11510890,0.10940155,0.12261560,0.10433137,0.10995653,0.10476728,0.12096708
2021-11-01,0.10509942,0.10734044,0.11515250,0.10983465,0.12493527,0.10451592,0.11032899,0.10317348,0.11961934
2021-11-02,0.10511106,0.10811621,0.11561966,0.10962862,0.12340700,0.10617538,0.11028963,0.10301822,0.11863423
2021-11-03,0.10475160,0.10880227,0.11526482,0.10902347,0.12129634,0.10547364,0.11025018,0.10487403,0.12026364
2021-11-04,0.10468294,0.10835054,0.11367621,0.10833852,0.12212696,0.10511073,0.11098490,0.10768559,0.11904362
2021-11-05,0.10460579,0.10865855,0.11343046,0.10924214,0.12319269,0.10428669,0.11013336,0.10890572,0.11754460
2021-11-08,0.10472897,0.10818244,0.11424654,0.10816876,0.12466558,0.10405171,0.10955845,0.10810413,0.11829342
2021-11-09,0.10428152,0.10798517,0.11289713,0.10815226,0.12534185,0.10337815,0.10947039,0.11033410,0.11815943
2021-11-10,0.10492603,0.10657044,0.11348656,0.10915378,0.12363193,0.10514359,0.10915425,0.10809241,0.11984102
2021-11-11,0.10489313,0.10650101,0.11344419,0.10933731,0.12382421,0.10433639,0.10916414,0.10776215,0.12073748
2021-11-12,0.10452096,0.10764463,0.11253589,0.11014896,0.12244475,0.10520951,0.10823474,0.10900790,0.12025266
2021-11-15,0.10449016,0.10762006,0.11230047,0.11143060,0.12346359,0.10422876,0.10758042,0.10961042,0.11927552
2021-11-16,0.10475638,0.10861355,0.11177544,0.11125405,0.12502805,0.10395114,0.10510875,0.10973536,0.11977727
