Date,CASH,AAPL,JPM,NEE,XOM,JNJ,WMT,AMZN,UPS
2024-08-26,0.00004538,0.00004538,0.00004538,0.00004538,0.00004538,0.00004538,0.99963693,0.00004538,0.00004538
2024-08-27,0.00004538,0.00004549,0.00004553,0.00004538,0.00004538,0.00004538,0.99963667,0.00004538,0.00004538
2024-08-28,0.00004541,0.00004538,0.00004579,0.00004538,0.00004538,0.00004568,0.99963619,0.00004538,0.00004538
2024-08-29,0.00004538,0.00004584,0.00004578,0.00004553,0.00004581,0.00004557,0.99963518,0.00004553,0.00004538
2024-08-30,0.00004538,0.00004538,0.00004583,0.00004562,0.00004538,0.00004554,0.99963468,0.00004672,0.00004546
2024-09-03,0.00004542,0.00004538,0.00004538,0.00004538,0.00004538,0.00004593,0.99963557,0.00004617,0.00004538
2024-09-04,0.00004538,0.00004538,0.00004538,0.00004599,0.00004538,0.00004594,0.99963530,0.00004538,0.00004585
2024-09-05,0.00004555,0.00004586,0.00004538,0.00004573,0.00004538,0.00004546,0.99963441,0.00004675,0.00004547
2024-09-06,0.00004574,0.00004573,0.00004538,0.00004573,0.00004538,0.00004548,0.99963546,0.00004538,0.00004571
2024-09-09,0.00004538,0.00004538,0.00004589,0.00004600,0.00004592,0.00004568,0.99963395,0.00004602,0.00004577
2024-09-10,0.00004538,0.00004538,0.00004538,0.00004576,0.00004538,0.00004538,0.99963571,0.00004624,0.00004538
2024-09-11,0.00004538,0.00004589,0.00004573,0.00004637,0.00004538,0.00004538,0.99963298,0.00004750,0.00004538
2024-09-12,0.00004538,0.00004544,0.00004538,0.00004591,0.00004553,0.00004538,0.99963394,0.00004764,0.00004538
2024-09-13,0.00004538,0.00004538,0.00004538,0.00004602,0.00004538,0.00004538,0.99963473,0.00004696,0.00004538
2024-09-16,0.00004541,0.00004538,0.00004619,0.00004604,0.00004604,0.00004581,0.99963255,0.00004658,0.00004600
2024-09-17,0.00004654,0.00004662,0.00004766,0.00004737,0.00004781,0.00004697,0.99962101,0.00004825,0.00004778
2024-09-18,0.00004628,0.00004720,0.00004701,0.00004673,0.00004771,0.00004646,0.99962321,0.00004787,0.00004752
2024-09-19,0.00004687,0.00004957,0.00004828,0.00004620,0.00004892,0.00004667,0.99961544,0.00004937,0.00004867
2024-09-20,0.00004627,0.00004878,0.00004780,0.00004587,0.00004798,0.00004589,0.99962147,0.00004918,0.00004676
2024-09-23,0.00004554,0.00004765,0.00004712,0.00004626,0.00004808,0.00004538,0.99962491,0.00004898,0.00004607
2024-09-24,0.00004538,0.00004764,0.00004696,0.00004578,0.00004775,0.00004538,0.99962616,0.00004879,0.00004616
2024-09-25,0.00004538,0.00004700,0.00004623,0.00004555,0.00004640,0.00004538,0.99962961,0.00004800,0.00004645
2024-09-26,0.00004622,0.00004811,0.00004699,0.00004576,0.00004645,0.00004645,0.99962351,0.00004854,0.00004796
2024-09-27,0.00004630,0.00004826,0.00004724,0.00004643,0.00004778,0.00004653,0.99962127,0.00004781,0.00004838
2024-09-30,0.00004575,0.00004877,0.00004675,0.00004587,0.00004777,0.00004616,0.99962357,0.00004683,0.00004854
2024-10-01,0.00004546,0.00004704,0.00004561,0.00004597,0.00004856,0.00004585,0.99962814,0.00004623,0.00004714
2024-10-02,0.00004593,0.00004765,0.00004614,0.00004654,0.00004972,0.00004609,0.99962376,0.00004662,0.00004754
2024-10-03,0.00004593,0.00004742,0.00004568,0.00004633,0.00005016,0.00004590,0.99962594,0.00004591,0.00004672
2024-10-04,0.00004564,0.00004736,0.00004700,0.00004539,0.00005075,0.00004555,0.99962492,0.00004676,0.00004662
2024-10-07,0.00004670,0.00004737,0.00004803,0.00004538,0.00005216,0.00004639,0.99961990,0.00004639,0.00004768
2024-10-08,0.00004634,0.00004787,0.00004762,0.00004538,0.00005039,0.00004608,0.99962256,0.00004652,0.00004723
2024-10-09,0.00004595,0.00004825,0.00004781,0.00004538,0.00004997,0.00004596,0.99962238,0.00004674,0.00004756
2024-10-10,0.00004640,0.00004862,0.00004816,0.00004604,0.00005090,0.00004638,0.99961795,0.00004758,0.00004797
2024-10-11,0.00004612,0.00004801,0.00004999,0.00004628,0.00005078,0.00004637,0.99961631,0.00004784,0.00004831
2024-10-14,0.00004601,0.00004869,0.00004969,0.00004676,0.00005086,0.00004630,0.99961612,0.00004740,0.00004818
