Date,CASH,AAPL,JPM,NEE,XOM,JNJ,WMT,AMZN,UPS
2024-08-26,0.00001827,0.04516310,0.40244255,0.00001827,0.07742443,0.00001827,0.33662090,0.13827594,0.00001827
2024-08-27,0.00001836,0.04533865,0.40435570,0.00001836,0.07669916,0.00001836,0.33711253,0.13642053,0.00001836
2024-08-28,0.00001847,0.04508083,0.40683071,0.00001847,0.07602468,0.00001849,0.33725296,0.13473692,0.00001847
2024-08-29,0.00001844,0.04546725,0.40610675,0.00001850,0.07661946,0.00001844,0.33675729,0.13497544,0.00001844
2024-08-30,0.00001841,0.04472824,0.40555693,0.00001849,0.07551249,0.00001841,0.33595009,0.13817850,0.00001843
2024-09-03,0.00001865,0.04408092,0.40264048,0.00001860,0.07489870,0.00001880,0.34008281,0.13822252,0.00001851
2024-09-04,0.00001875,0.04392273,0.40290162,0.00001897,0.07435951,0.00001892,0.34211845,0.13662225,0.00001882
2024-09-05,0.00001877,0.04427329,0.40019716,0.00001881,0.07385649,0.00001867,0.34123494,0.14036326,0.00001861
2024-09-06,0.00001909,0.04470988,0.39733003,0.00001905,0.07475994,0.00001892,0.34559133,0.13753282,0.00001895
2024-09-09,0.00001878,0.04401933,0.39904002,0.00001903,0.07512335,0.00001887,0.34322149,0.13852029,0.00001885
2024-09-10,0.00001905,0.04447367,0.38362857,0.00001956,0.07339943,0.00001922,0.35463930,0.14378196,0.00001925
2024-09-11,0.00001891,0.04467537,0.38404994,0.00001969,0.07216440,0.00001880,0.35230186,0.14673211,0.00001892
2024-09-12,0.00001881,0.04445366,0.38079415,0.00001959,0.07275855,0.00001867,0.35402459,0.14789317,0.00001881
2024-09-13,0.00001882,0.04442351,0.37679306,0.00001988,0.07274508,0.00001878,0.35839355,0.14756867,0.00001864
2024-09-16,0.00001873,0.04298024,0.38146287,0.00001978,0.07340843,0.00001886,0.35647901,0.14559329,0.00001880
2024-09-17,0.00001880,0.04322508,0.38536405,0.00001993,0.07462734,0.00001893,0.34902898,0.14767778,0.00001912
