Date,CASH,AAPL,JPM,NEE,XOM,JNJ,WMT,AMZN,UPS
2024-08-26,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111
2024-08-27,0.11159808,0.11201564,0.11211234,0.11017267,0.11053666,0.11131116,0.11174486,0.11008467,0.11042391
2024-08-28,0.11194025,0.11160026,0.11302302,0.11023282,0.10978264,0.11231710,0.11201386,0.10894243,0.11014762
2024-08-29,0.11128959,0.11256816,0.11283322,0.11044773,0.11065263,0.11187541,0.11186046,0.10914623,0.10932657
2024-08-30,0.11020672,0.11108961,0.11303771,0.11074170,0.10939972,0.11188643,0.11194613,0.11209060,0.10960139
2024-09-03,0.11130779,0.10914710,0.11188167,0.11104234,0.10817868,0.11389000,0.11297673,0.11178346,0.10979223
2024-09-04,0.11148026,0.10837404,0.11156165,0.11281451,0.10702330,0.11420295,0.11325443,0.11010185,0.11118702
2024-09-05,0.11175234,0.10939116,0.11096713,0.11204375,0.10644738,0.11286048,0.11311928,0.11327422,0.11014426
2024-09-06,0.11280091,0.10964301,0.10934748,0.11260230,0.10694297,0.11349827,0.11370589,0.11015925,0.11129992
2024-09-09,0.11140146,0.10832687,0.11020193,0.11288771,0.10783843,0.11361079,0.11332088,0.11133798,0.11107395
2024-09-10,0.11166543,0.10819031,0.10473126,0.11470222,0.10415592,0.11440631,0.11574841,0.11424232,0.11215783
2024-09-11,0.11133667,0.10912150,0.10527126,0.11593476,0.10281845,0.11232484,0.11545157,0.11705893,0.11068203
2024-09-12,0.11091815,0.10876504,0.10455673,0.11554051,0.10384168,0.11178041,0.11621386,0.11818630,0.11019733
2024-09-13,0.11081610,0.10853327,0.10330772,0.11708008,0.10367151,0.11227446,0.11747701,0.11775553,0.10908432
2024-09-16,0.11064165,0.10535260,0.10493214,0.11688196,0.10496104,0.11309327,0.11723385,0.11656144,0.11034205
2024-09-17,0.11034360,0.10529709,0.10534928,0.11702158,0.10604356,0.11284263,0.11407347,0.11749863,0.11153015
2024-09-18,0.11032492,0.10717322,0.10446564,0.11605166,0.10639704,0.11220226,0.11467813,0.11719585,0.11151128
2024-09-19,0.10976220,0.11057873,0.10541019,0.11273352,0.10716620,0.11073640,0.11266396,0.11874954,0.11219926
2024-09-20,0.10986494,0.11035823,0.10581463,0.11348351,0.10659148,0.11039621,0.11424332,0.11994370,0.10930397
2024-09-23,0.10911797,0.10877696,0.10526945,0.11551750,0.10778628,0.10901777,0.11528929,0.12054580,0.10867898
2024-09-24,0.10907404,0.10916528,0.10530172,0.11474947,0.10745828,0.10868012,0.11573066,0.12054700,0.10929342
2024-09-25,0.10934067,0.10895083,0.10486070,0.11548033,0.10562268,0.10748676,0.11706337,0.11995075,0.11124392
2024-09-26,0.10977546,0.10993977,0.10507232,0.11435019,0.10422250,0.10844502,0.11539200,0.11957080,0.11323194
2024-09-27,0.10940783,0.10970161,0.10507986,0.11544201,0.10665447,0.10808853,0.11480410,0.11718171,0.11363990
2024-09-30,0.10869692,0.11148157,0.10457561,0.11467829,0.10724228,0.10782532,0.11544489,0.11540454,0.11465059
2024-10-01,0.10916501,0.10869890,0.10312328,0.11618041,0.11019413,0.10824289,0.11668867,0.11515509,0.11255161
2024-10-02,0.10917881,0.10898658,0.10326086,0.11641313,0.11166915,0.10770856,0.11549721,0.11493948,0.11234622
2024-10-03,0.10975251,0.10902302,0.10277189,0.11650432,0.11323513,0.10782442,0.11610411,0.11379243,0.11099217
2024-10-04,0.10882544,0.10864341,0.10552071,0.11389030,0.11433956,0.10677376,0.11585336,0.11565262,0.11050084
2024-10-07,0.11033217,0.10766590,0.10683480,0.11056477,0.11642409,0.10773880,0.11478725,0.11366415,0.11198807
2024-10-08,0.11021285,0.10952882,0.10662819,0.11073406,0.11320914,0.10773024,0.11554737,0.11474698,0.11166234
2024-10-09,0.10930972,0.11044526,0.10709423,0.10993582,0.11232746,0.10748979,0.11559256,0.11533268,0.11247248
2024-10-10,0.10925699,0.11015151,0.10675168,0.11037371,0.11323886,0.10734430,0.11440155,0.11619841,0.11228299
2024-10-11,0.10818725,0.10836346,0.11039977,0.11053531,0.11255809,0.10692239,0.11397866,0.11639840,0.11265667
2024-10-14,0.10788751,0.10984410,0.10969274,0.11164294,0.11267304,0.10671862,0.11393250,0.11528903,0.11231951
2024-10-15,0.10776429,0.11092827,0.11001764,0.11135404,0.10916114,0.10824583,0.11573001,0.11524948,0.11154929
2024-10-16,0.10746464,0.10964061,0.11032838,0.11319045,0.10913801,0.10806323,0.11480042,0.11443914,0.11293512
2024-10-17,0.10755560,0.10990859,0.11080690,0.11246740,0.10894974,0.10827980,0.11443079,0.11492824,0.11267293
2024-10-18,0.10705613,0.11074123,0.11075920,0.11274682,0.10813744,0.10820290,0.11449076,0.11528514,0.11258038
2024-10-21,0.10779318,0.11220588,0.11034899,0.11305217,0.10894542,0.10743686,0.11457012,0.11612798,0.10951940
2024-10-22,0.10748254,0.11158921,0.11058361,0.11228368,0.10919236,0.10753517,0.11595050,0.11617915,0.10920378
2024-10-23,0.10760077,0.10929640,0.11035454,0.11409933,0.10892304,0.10924076,0.11784711,0.11324755,0.10939051
2024-10-24,0.10736292,0.10896502,0.11088439,0.11096611,0.10806777,0.10756006,0.11726183,0.11401885,0.11491304
2024-10-25,0.10793688,0.10994664,0.11015420,0.10970024,0.10855465,0.10629177,0.11713630,0.11552018,0.11475913
2024-10-28,0.10757697,0.11052234,0.11136228,0.11126790,0.10765847,0.10641145,0.11708528,0.11547825,0.11263707
2024-10-29,0.10854396,0.11164483,0.11106776,0.10778386,0.10714617,0.10636470,0.11663871,0.11802537,0.11278463
2024-10-30,0.10870476,0.11010198,0.11198581,0.10730586,0.10676510,0.10686829,0.11636829,0.11937707,0.11252283
2024-10-31,0.10939929,0.10878774,0.11145081,0.10820991,0.10753010,0.10704885,0.11791758,0.11619394,0.11346179
2024-11-01,0.10912722,0.10707611,0.11168460,0.10535293,0.10558182,0.10696297,0.11796879,0.12307440,0.11317118
2024-11-04,0.10916837,0.10668401,0.11014309,0.10678246,0.10898462,0.10574035,0.11838661,0.12178343,0.11232706
2024-11-05,0.10839711,0.10661739,0.11021587,0.10640689,0.10853398,0.10506630,0.11930384,0.12322069,0.11223791
2024-11-06,0.10703242,0.10493118,0.12139200,0.09955006,0.10900535,0.10343560,0.11746399,0.12629830,0.11089110
2024-11-07,0.10713065,0.10727214,0.11625100,0.09977512,0.10924063,0.10277641,0.11814947,0.12822107,0.11118351
2024-11-08,0.10699480,0.10700881,0.11639828,0.10278683,0.10906609,0.10182090,0.11937879,0.12691843,0.10962707
2024-11-11,0.10751113,0.10623183,0.11810009,0.10186049,0.10901327,0.10202927,0.11907815,0.12671001,0.10946575
2024-11-12,0.10779359,0.10651094,0.11854399,0.09990821,0.10919080,0.10071378,0.12049687,0.12831434,0.10852748
2024-11-13,0.10678316,0.10593132,0.11821709,0.09894503,0.10917390,0.10016187,0.12008364,0.13026940,0.11043459
2024-11-14,0.10694679,0.10755459,0.11874682,0.10048487,0.10941380,0.09941851,0.11881883,0.12887244,0.10974335
2024-11-15,0.10723331,0.10632119,0.12075835,0.10218616,0.10856947,0.10108298,0.11882685,0.12379799,0.11122370
2024-11-18,0.10678253,0.10729531,0.12011347,0.10180991,0.10901924,0.10116134,0.11808860,0.12272389,0.11300571
2024-11-19,0.10666440,0.10729881,0.11903064,0.10261587,0.10737796,0.09989380,0.12149331,0.12435674,0.11126846
2024-11-20,0.10673083,0.10770427,0.11797296,0.10241334,0.10897550,0.10002787,0.12238319,0.12338209,0.11040995
2024-11-21,0.10633278,0.10707768,0.11947577,0.10266844,0.11002186,0.10121040,0.12361903,0.12019546,0.10939858
2024-11-22,0.10569972,0.10706899,0.12060349,0.10093496,0.10924127,0.10039433,0.12573305,0.11872100,0.11160319
2024-11-25,0.10513134,0.10788306,0.12079471,0.10123760,0.10703014,0.10024701,0.12375715,0.12067643,0.11324254
2024-11-26,0.10467036,0.10842017,0.12011130,0.10191159,0.10478437,0.09979453,0.12570630,0.12397030,0.11063109
2024-11-27,0.10450194,0.10818583,0.11983168,0.10310002,0.10434085,0.10020137,0.12628749,0.12250847,0.11104234
2024-11-29,0.10414283,0.10891548,0.11938643,0.10294201,0.10424741,0.09960643,0.12670274,0.12336330,0.11069338
2024-12-02,0.10440058,0.11022476,0.11801886,0.10109795,0.10440798,0.09971769,0.12720862,0.12534617,0.10957739
2024-12-03,0.10468715,0.11193895,0.11765557,0.10034948,0.10453465,0.09841529,0.12875569,0.12731869,0.10634454
2024-12-04,0.10491007,0.11234375,0.11722224,0.09983816,0.10173925,0.09740144,0.13032692,0.13041130,0.10580688
2024-12-05,0.10458835,0.11201306,0.11786143,0.10013650,0.10187103,0.09648969,0.13109654,0.13143569,0.10450770
2024-12-06,0.10447034,0.11179460,0.11863006,0.09876337,0.10068337,0.09624545,0.13149824,0.13514475,0.10276981
2024-12-09,0.10465437,0.11379472,0.11713350,0.09822726,0.10026570,0.09660225,0.12915583,0.13482227,0.10534410
