seed,split,strategy,final_value,CR,AR,sharpe,sortino,MDD,turnover,win_rate,HHI,entropy,max_weight,mu_min,n_days
0,train,PG,1.357606,0.357606,0.110352,0.558213,0.80284,0.159691,0.010043,0.531973,0.111287,2.19643,0.129179,0.999096,735
0,validate,PG,1.088758,0.088758,0.089499,0.365952,0.479932,0.156821,0.014565,0.538153,0.111289,2.196421,0.123081,0.999093,249
0,test,PG,1.275107,0.275107,0.275107,2.214701,3.273327,0.050623,0.014335,0.589641,0.111325,2.19626,0.127907,0.999093,251
1,train,PG,1.362028,0.362028,0.111589,0.570057,0.819815,0.156048,0.009486,0.531973,0.111411,2.195855,0.129653,0.999101,735
1,validate,PG,1.087741,0.087741,0.088473,0.361629,0.468869,0.156332,0.014509,0.538153,0.111399,2.195915,0.127722,0.999094,249
1,test,PG,1.278131,0.278131,0.278131,2.241322,3.331507,0.049585,0.0145,0.585657,0.111408,2.195873,0.124043,0.999096,251
2,train,PG,4.003882,3.003882,0.607994,2.021684,3.487989,0.174108,0.468423,0.582313,0.458227,1.179447,0.990658,0.998183,735
2,validate,PG,1.174985,0.174985,0.176502,0.66624,0.916211,0.269256,0.516689,0.546185,0.428213,1.243559,0.973878,0.998379,249
2,test,PG,1.196695,0.196695,0.196695,0.879754,1.246383,0.113002,0.535708,0.537849,0.481169,1.128264,0.990955,0.998464,251
3,train,PG,1.363875,0.363875,0.112105,0.563814,0.810065,0.16132,0.010559,0.531973,0.111791,2.194042,0.131308,0.999102,735
3,validate,PG,1.088521,0.088521,0.08926,0.361586,0.473057,0.158922,0.015625,0.542169,0.111805,2.193985,0.128765,0.999095,249
3,test,PG,1.279447,0.279447,0.279447,2.220578,3.310169,0.050885,0.015153,0.585657,0.111861,2.193728,0.134442,0.999097,251
4,train,PG,4.1319,3.1319,0.625415,2.231918,3.855233,0.156803,0.440978,0.570068,0.586147,0.896607,0.997648,0.998264,735
4,validate,PG,1.121248,0.121248,0.122275,0.426567,0.562352,0.298681,0.434966,0.493976,0.591493,0.874818,0.9975,0.998594,249
4,test,PG,0.952853,-0.047147,-0.047147,-0.309002,-0.429093,0.21679,0.486651,0.52988,0.639333,0.758578,0.997091,0.998282,251
5,train,PG,5.622588,4.622588,0.806224,2.574295,4.95403,0.128382,0.624716,0.572789,0.437282,1.21238,0.992282,0.99818,735
5,validate,PG,1.134042,0.134042,0.135183,0.513535,0.690062,0.259082,0.697284,0.53012,0.403511,1.289282,0.956651,0.998336,249
5,test,PG,1.017856,0.017856,0.017856,-0.00961,-0.013857,0.154175,0.678018,0.549801,0.447368,1.19743,0.980676,0.998279,251
6,train,PG,1.369482,0.369482,0.113668,0.573308,0.825293,0.1602,0.009893,0.531973,0.111711,2.19439,0.124164,0.999097,735
6,validate,PG,1.091281,0.091281,0.092044,0.378105,0.495248,0.158777,0.014527,0.534137,0.111716,2.194367,0.121613,0.999092,249
6,test,PG,1.282355,0.282355,0.282355,2.243107,3.319514,0.051112,0.014554,0.585657,0.111744,2.194236,0.122813,0.999093,251
7,train,PG,1.363563,0.363563,0.112018,0.566923,0.814947,0.159383,0.008924,0.531973,0.111467,2.195598,0.130176,0.999097,735
7,validate,PG,1.088832,0.088832,0.089574,0.365197,0.4777,0.1575,0.013862,0.542169,0.111473,2.19557,0.126997,0.999089,249
7,test,PG,1.278329,0.278329,0.278329,2.230548,3.313886,0.050496,0.013574,0.585657,0.111522,2.195348,0.126992,0.999091,251
8,train,PG,1.36082,0.36082,0.111251,0.569878,0.819456,0.155321,0.011578,0.531973,0.111355,2.196116,0.128847,0.999101,735
8,validate,PG,1.086449,0.086449,0.08717,0.354688,0.459771,0.155832,0.017136,0.538153,0.111352,2.196136,0.126477,0.999093,249
8,test,PG,1.274694,0.274694,0.274694,2.224661,3.300318,0.049435,0.017097,0.581673,0.11136,2.196096,0.124316,0.999095,251
