algo,baseline,level,t,p,mean_diff,n,final_value,seed_used,lo,hi,median_diff,n_better,test,ret_diff,ret_lo,ret_hi,ret_lo_adj,ret_hi_adj,m,alpha_adj,p_adj,reject
DDPG,UBAH,seed0,0.37877665,0.70517779,1.784664e-05,249,1.0904232,,,,,,,,,,,,12,0.0041666667,1,False
DDPG,UBAH,seed1,1.2098793,0.22747718,0.00049792863,249,1.222657,,,,,,,,,,,,12,0.0041666667,1,False
DDPG,UBAH,seed2,1.6898945,0.092304727,0.00035167143,249,1.1817699,,,,,,,,,,,,12,0.0041666667,1,False
DDPG,UBAH,seed3,1.2204405,0.22345709,0.0005008978,249,1.2198602,,,,,,,,,,,,12,0.0041666667,1,False
DDPG,UBAH,seed4,2.3320805,0.020497638,0.00070306391,249,1.2878724,,,,,,,,,,,,12,0.0041666667,0.24597165,False
DDPG,UBAH,seed5,1.0200175,0.30871416,0.00034377375,249,1.1714842,,,,,,,,,,,,12,0.0041666667,1,False
DDPG,UBAH,seed6,0.84421776,0.39936134,0.00024931167,249,1.1536289,,,,,,,,,,,,12,0.0041666667,1,False
DDPG,UBAH,seed7,1.2629347,0.20779877,0.0004701012,249,1.2134284,,,,,,,,,,,,12,0.0041666667,1,False
DDPG,UBAH,seed8,1.277919,0.20247284,0.00054940228,249,1.2287713,,,,,,,,,,,,12,0.0041666667,1,False
DDPG,UBAH,seed9,1.8239499,0.069363088,0.00090511767,249,1.3404582,,,,,,,,,,,,12,0.0041666667,0.83235705,False
DDPG,UBAH,median,1.2204405,0.22345709,0.0005008978,249,1.2198602,3,-0.00031776984,0.0013227614,,,,,,,,,12,0.0041666667,1,False
DDPG,UBAH,seeds,5.7058299,0.00029214411,0.12537109,10,,,0.084918955,0.16782942,0.13098003,10,final_wealth_vs_realised_baseline,0.0004589115,6.3676392e-06,0.00097011283,-0.00021951081,0.0012471683,12,0.0041666667,0.0035057293,True
DDPG,UCRP,seed0,-0.77406074,0.43963215,-7.8790326e-07,249,1.0904232,,,,,,,,,,,,12,0.0041666667,1,False
DDPG,UCRP,seed1,1.0925778,0.2756394,0.00047929408,249,1.222657,,,,,,,,,,,,12,0.0041666667,1,False
DDPG,UCRP,seed2,1.4975645,0.1355181,0.00033303688,249,1.1817699,,,,,,,,,,,,12,0.0041666667,1,False
DDPG,UCRP,seed3,1.1186137,0.2643873,0.00048226326,249,1.2198602,,,,,,,,,,,,12,0.0041666667,1,False
DDPG,UCRP,seed4,2.0475944,0.041653337,0.00068442936,249,1.2878724,,,,,,,,,,,,12,0.0041666667,0.49984004,False
DDPG,UCRP,seed5,0.92395851,0.35640602,0.00032513921,249,1.1714842,,,,,,,,,,,,12,0.0041666667,1,False
DDPG,UCRP,seed6,0.72397014,0.46976643,0.00023067713,249,1.1536289,,,,,,,,,,,,12,0.0041666667,1,False
DDPG,UCRP,seed7,1.1584785,0.24778316,0.00045146666,249,1.2134284,,,,,,,,,,,,12,0.0041666667,1,False
DDPG,UCRP,seed8,1.170971,0.2427343,0.00053076774,249,1.2287713,,,,,,,,,,,,12,0.0041666667,1,False
DDPG,UCRP,seed9,1.6691222,0.096354994,0.00088648313,249,1.3404582,,,,,,,,,,,,12,0.0041666667,1,False
