seed,split,strategy,final_value,CR,AR,sharpe,sortino,MDD,turnover,win_rate,HHI,entropy,max_weight,mu_min,n_days
0,train,PPO,1.938953,0.938953,0.254471,1.160368,1.846795,0.163010,0.334746,0.517007,0.475581,1.041330,0.999637,0.998043,735
0,validate,PPO,1.423188,0.423188,0.427212,1.722804,2.332054,0.104790,0.439456,0.562249,0.499865,0.948145,0.999110,0.998092,249
0,test,PPO,1.227765,0.227765,0.227765,1.168470,1.699557,0.076747,0.367762,0.529880,0.551473,0.841143,0.999637,0.998145,251
1,train,PPO,1.399937,0.399937,0.122086,0.499488,0.727552,0.174001,0.337300,0.551020,0.408482,1.214639,0.943027,0.998434,735
1,validate,PPO,1.309665,0.309665,0.312494,1.258718,1.740381,0.125492,0.399244,0.562249,0.420958,1.183869,0.959153,0.998209,249
1,test,PPO,1.262112,0.262112,0.262112,1.220223,1.620974,0.116009,0.362516,0.553785,0.421772,1.143079,0.946320,0.998471,251
2,train,PPO,1.301607,0.301607,0.094452,0.455163,0.615008,0.185881,0.260959,0.530612,0.362237,1.339216,0.909237,0.998915,735
2,validate,PPO,1.092223,0.092223,0.092994,0.366330,0.495245,0.126727,0.276604,0.530120,0.353899,1.354483,0.895138,0.999107,249
2,test,PPO,1.119585,0.119585,0.119585,0.662115,0.941063,0.092172,0.279527,0.517928,0.379804,1.295090,0.858254,0.999081,251
3,train,PPO,1.717808,0.717808,0.203520,0.851086,1.294529,0.140924,0.091743,0.529252,0.316052,1.434268,0.785857,0.999012,735
3,validate,PPO,1.092973,0.092973,0.093750,0.339544,0.436768,0.167475,0.106024,0.510040,0.325116,1.422612,0.772939,0.999057,249
3,test,PPO,1.346220,0.346220,0.346220,1.936758,3.069854,0.069338,0.102005,0.557769,0.304902,1.475559,0.733314,0.999041,251
4,train,PPO,1.352772,0.352772,0.108996,0.460039,0.642191,0.223858,0.299037,0.499320,0.313462,1.343650,0.922682,0.998408,735
4,validate,PPO,1.222552,0.222552,0.224518,0.915500,1.281772,0.150346,0.290470,0.546185,0.296253,1.354430,0.759894,0.998501,249
4,test,PPO,1.315409,0.315409,0.315409,1.623699,2.238379,0.061518,0.236321,0.573705,0.278608,1.392616,0.674582,0.999018,251
5,train,PPO,3.160306,2.160306,0.482869,2.139743,3.626132,0.134395,0.369756,0.544218,0.491678,0.903187,0.999164,0.998130,735
5,validate,PPO,1.155033,0.155033,0.156366,0.654034,0.848829,0.150369,0.407793,0.586345,0.503053,0.889346,0.992885,0.998031,249
5,test,PPO,1.190326,0.190326,0.190326,1.001774,1.479358,0.125429,0.383207,0.537849,0.473092,0.953835,0.995866,0.998053,251
6,train,PPO,1.314540,0.314540,0.098164,0.465938,0.669011,0.180867,0.043165,0.537415,0.137749,2.062786,0.250556,0.999099,735
6,validate,PPO,1.107064,0.107064,0.107965,0.467354,0.627597,0.167189,0.047400,0.558233,0.137817,2.062835,0.226589,0.999069,249
6,test,PPO,1.270053,0.270053,0.270053,1.935936,2.811086,0.058139,0.046781,0.589641,0.140810,2.047053,0.235662,0.999082,251
7,train,PPO,2.428890,1.428890,0.355065,1.587756,2.468083,0.147749,0.393140,0.552381,0.483432,0.904948,0.991430,0.998084,735
7,validate,PPO,1.270698,0.270698,0.273135,1.043727,1.403370,0.148455,0.415742,0.570281,0.459578,0.953849,0.949394,0.998063,249
7,test,PPO,1.008782,0.008782,0.008782,-0.077118,-0.104051,0.219947,0.415042,0.521912,0.503208,0.849520,0.982808,0.998425,251
8,train,PPO,1.656785,0.656785,0.188707,0.919558,1.222764,0.156165,0.091019,0.555102,0.336240,1.312299,0.691253,0.999020,735
8,validate,PPO,1.240108,0.240108,0.242245,1.109040,1.445654,0.118997,0.102515,0.586345,0.337393,1.330685,0.712733,0.999059,249
8,test,PPO,1.237300,0.237300,0.237300,1.263034,1.822417,0.136350,0.095010,0.545817,0.333600,1.332718,0.616555,0.999052,251
9,train,PPO,1.413745,0.413745,0.125864,0.509447,0.714484,0.337713,0.107353,0.542857,0.622846,0.860914,0.946937,0.999009,735
9,validate,PPO,1.265027,0.265027,0.267409,0.896285,1.214024,0.235491,0.110433,0.570281,0.661237,0.786676,0.965603,0.999068,249
9,test,PPO,1.257945,0.257945,0.257945,1.173607,1.643757,0.094001,0.101345,0.573705,0.631745,0.846936,0.943690,0.999031,251
